"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Seminar in the Major","Course Total","","58","3.638","43.1","43.1","12.1","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","","15","3.667","53.3","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","40","3.788","65.0","32.5",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","314
001","","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
314","","22","3.568","50.0","27.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","Course Total","","38","3.658","60.5","18.4","13.2","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","315
001","","21","3.500","38.1","28.6","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","316
001","","20","3.600","55.0","20.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","318
001","","32","3.984","93.8","3.1",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Modernist Novel","351
001","","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Lit since 1900","353
001","","25","3.304","24.0","24.0","28.0","16.0",".",".",".",".",".",".",".",".","4.0",".",".","4.0"
"Major American Poets","357
001","","30","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Poetry","373
001","","24","3.425","25.0","37.5","4.2","16.7",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"","403
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
403","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
408","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
004","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
005","","16","3.844","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","Course Total","","56","3.848","78.6","14.3","5.4","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","001
409","","15","3.679","53.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","409
002","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","31","3.767","61.3","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"Creative Writing: Playwriting","410
001","","12","3.273","75.0",".",".",".",".",".","16.7",".",".",".",".",".","8.3",".",".","."
"Introduction to TESOL Methods","415
001","","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"English in Society","416
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","420
001","","16","3.667","37.5","50.0","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Topic in Early Modern Lit","430
002","","30","3.286","10.0","43.3","30.0","10.0",".",".",".",".",".",".",".",".","6.7",".",".","."
"Early Works of Shakespeare","431
002","","34","3.609","61.8","14.7","8.8","5.9",".",".","2.9",".",".",".",".",".","5.9",".",".","."
"Topic in 18th-Century Lit","438
001","","31","3.597","35.5","51.6","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Brit Lit since 1900","453
001","","14","3.462","28.6","28.6","35.7",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Topic in 19th-Century Amer Lit","456
001","","22","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","461
001","","35","3.671","71.4","14.3","8.6",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","474
001","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
474","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Contemporary Lit","Course Total","","54","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diaspora and Theatre","477
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","520
001","","9","3.000","22.2","22.2","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".","."
