"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"275
001","42","3.888","81.0","11.9",".",".","2.4",".",".",".",".","",".",".",".","","4.8",".",".","."
"275
002","67","3.580","28.4","22.4","11.9","3.0",".",".",".",".",".","",".",".",".","","1.5",".","32.8","."
"275
003","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Course Total
Special Topics in ILS","111","3.733","49.5","18.0","7.2","1.8","0.9",".",".",".","",".",".",".","",".","2.7",".","19.8","."
"299
001
Directed Study","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"338
001
Peer Mentor 1st-Yr Lib Ed Smr","20","3.950","95.0",".","5.0",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"357
001
Peer Mentor Seminar","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"400
001
Capstone Integration Seminar","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"490
001","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"490
003","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","4","***","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","1088","3.552","47.0","18.3","11.8","3.2","1.0","0.5","0.6","0.2","",".","14.5","0.3","",".","0.5","0.3","2.0","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","472","3.474","43.0","16.3","10.6","3.8","0.4","0.2","0.8",".","",".","23.9","0.4","",".","0.4",".",".","."
"Sophomore","309","3.624","53.1","16.8","11.7","2.6","1.3",".","0.3",".","",".","14.2",".","",".",".",".",".","."
"Junior","150","3.565","52.0","20.7","19.3","2.7","2.7","0.7",".",".","",".","0.7","0.7","",".",".","0.7",".","."
"Senior","131","3.559","48.9","29.8","9.9","3.8","0.8","2.3","0.8",".","",".",".",".","",".","2.3","1.5",".","."
"Undergraduates","1062","3.552","47.9","18.7","12.1","3.3","1.0","0.5","0.6",".","",".","14.9","0.3","",".","0.5","0.3",".","."
"Special","26","4.000","7.7",".",".",".",".",".",".","7.7","",".",".",".","",".",".",".","84.6","."
"Dept. Total","1088","3.552","47.0","18.3","11.8","3.2","1.0","0.5","0.6","0.2","",".","14.5","0.3","",".","0.5","0.3","2.0","."
