"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","10","3.700","70.0",".","30.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","13","3.654","61.5","7.7","30.8",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","20","3.750","60.0","30.0","10.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","79","3.833","64.6","15.2","3.8","1.3","",".","",".","",".","7.6","",".",".","",".","",".","1.3",".","6.3","."
"Prof Yr 2","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","53","3.887","79.2","18.9","1.9",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","55","3.871","78.2","18.2","3.6",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
