"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","28","2.750","17.9","7.1","42.9",".","21.4","7.1","3.6",".",".",".",".",".",".",".",".","."
"","002
100","36","2.764","19.4","11.1","33.3","8.3","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","003
100","36","3.431","50.0","11.1","19.4","13.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
100","35","2.929","25.7","8.6","37.1","5.7","17.1",".","5.7",".",".",".",".",".",".",".",".","."
"","005
100","38","2.816","13.2","10.5","36.8","15.8","21.1",".","2.6",".",".",".",".",".",".",".",".","."
"","006
100","32","2.806","12.5","15.6","37.5","3.1","21.9","3.1","3.1",".",".",".",".",".","3.1",".",".","."
"","100
007","41","2.890","14.6","12.2","46.3","4.9","17.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","008
100","35","2.914","25.7","5.7","25.7","11.4","31.4",".",".",".",".",".",".",".",".",".",".","."
"","010
100","39","3.282","28.2","12.8","48.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","011
100","38","2.934","28.9","10.5","21.1","23.7","5.3","7.9","2.6",".",".",".",".",".",".",".",".","."
"","012
100","34","3.294","35.3","17.6","32.4","5.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","013
100","39","3.184","25.6","10.3","43.6","10.3","7.7",".",".",".",".",".",".",".",".",".","2.6","."
"","014
100","37","3.054","27.0","16.2","18.9","16.2","21.6",".",".",".",".",".",".",".",".",".",".","."
"","100
015","32","3.125","34.4","18.8","21.9","6.3","9.4","9.4",".",".",".",".",".",".",".",".",".","."
"","016
100","35","2.914","14.3","8.6","42.9","14.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"","017
100","30","2.700","13.3","10.0","26.7","16.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","018
100","32","2.781","12.5","15.6","18.8","28.1","21.9","3.1",".",".",".",".",".",".",".",".",".","."
"","100
019","32","2.844","21.9","3.1","37.5","3.1","31.3","3.1",".",".",".",".",".",".",".",".",".","."
"","020
100","34","2.676","11.8","11.8","32.4","17.6","17.6","2.9","5.9",".",".",".",".",".",".",".",".","."
"","021
100","31","2.758","16.1","12.9","25.8","16.1","19.4","9.7",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","694","2.951","22.6","11.5","32.7","11.5","16.7","3.0","1.6",".",".",".",".",".","0.1",".","0.1","."
"","211
001","34","2.941","20.6","8.8","32.4","14.7","23.5",".",".",".",".",".",".",".",".",".",".","."
"","211
002","32","3.031","21.9","18.8","31.3","18.8","3.1","3.1","3.1",".",".",".",".",".",".",".",".","."
"","003
211","31","3.183","32.3","19.4","25.8","9.7","3.2","3.2","3.2",".",".",".",".",".","3.2",".",".","."
"","004
211","29","2.966","13.8","37.9","20.7","10.3","10.3",".","6.9",".",".",".",".",".",".",".",".","."
"","005
211","30","3.000","20.0","16.7","23.3","30.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","156","3.023","21.8","19.9","26.9","16.7","9.6","1.9","2.6",".",".",".",".",".","0.6",".",".","."
"","300
001","46","3.402","32.6","32.6","19.6","13.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"","010
300","146","3.222","23.3","26.0","28.8","16.4","2.1","2.1",".","0.7",".",".",".",".",".",".","0.7","."
"Accounting Principles","Course Total","192","3.266","25.5","27.6","26.6","15.6","2.1","1.6",".","0.5",".",".",".",".",".",".","0.5","."
"","301
001","42","3.262","26.2","21.4","38.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","002
301","30","3.217","30.0","20.0","26.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","301
003","33","3.297","27.3","21.2","36.4","6.1","6.1",".",".",".",".",".",".",".","3.0",".",".","."
"","004
301","39","3.423","25.6","38.5","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","005
301","41","3.207","24.4","31.7","14.6","19.5","9.8",".",".",".",".",".",".",".",".",".",".","."
"","006
301","34","3.206","35.3","20.6","11.8","26.5",".","5.9",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","219","3.271","27.9","26.0","26.5","12.3","5.9","0.9",".",".",".",".",".",".","0.5",".",".","."
"","302
001","34","3.294","29.4","11.8","50.0","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","002
302","37","3.162","27.0","8.1","37.8","24.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","71","3.225","28.2","9.9","43.7","15.5","2.8",".",".",".",".",".",".",".",".",".",".","."
"","310
001","41","3.263","24.4","24.4","29.3","17.1","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"","310
002","42","3.345","28.6","26.2","40.5",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","83","3.305","26.5","25.3","34.9","8.4","2.4","1.2",".",".",".",".",".",".","1.2",".",".","."
"Taxatn:Bus & Persnl Planng","001
329","35","3.157","31.4","25.7","17.1","11.4","8.6","2.9","2.9",".",".",".",".",".",".",".",".","."
"","340
001","46","3.174","15.2","26.1","37.0","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 53 of 423"
