"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","314","2.962","21.3","21.0","17.8","19.1","15.9","2.2","1.9",".",".",".",".",".",".",".","0.6","."
"","002
101","397","2.969","21.4","20.7","18.6","19.9","15.6","2.0","1.8",".",".",".",".",".",".",".",".","."
"","003
101","332","3.026","19.3","29.8","22.9","10.2","10.2","6.3","1.2",".",".",".",".",".",".",".",".","."
"","004
101","419","3.165","22.4","27.0","25.1","14.6","9.8","0.5","0.5",".",".",".",".",".","0.2",".",".","."
"Principles-Microeconomics","Course Total","1462","3.036","21.2","24.6","21.3","16.0","12.8","2.6","1.3",".",".",".",".",".","0.1",".","0.1","."
"","102
001","381","2.900","14.7","23.1","20.5","23.1","12.1","5.5","0.5","0.5",".",".",".",".",".",".",".","."
"","002
102","430","2.911","12.6","15.8","38.6","14.9","14.4","3.0","0.5",".",".",".",".",".","0.2",".",".","."
"Principles-Macroeconomics","Course Total","811","2.906","13.6","19.2","30.1","18.7","13.3","4.2","0.5","0.2",".",".",".",".","0.1",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","17","2.853","11.8","23.5","35.3","5.9","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"","300
002","10","2.500",".","20.0","20.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","2.722","7.4","22.2","29.6","11.1","22.2","3.7","3.7",".",".",".",".",".",".",".",".","."
"","301
001","106","2.797","18.9","21.7","23.6","9.4","12.3","9.4","4.7",".",".",".",".",".",".",".",".","."
"","002
301","110","2.795","20.9","13.6","24.5","12.7","18.2","6.4","3.6",".",".",".",".",".",".",".",".","."
"","003
301","110","2.959","25.5","13.6","20.0","18.2","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","326","2.851","21.8","16.3","22.7","13.5","16.3","6.7","2.8",".",".",".",".",".",".",".",".","."
"","302
001","153","3.222","25.5","28.8","20.3","19.6","4.6","0.7","0.7",".",".",".",".",".",".",".",".","."
"","002
302","185","3.208","17.8","34.6","31.9","9.2","3.8","2.2","0.5",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","338","3.214","21.3","32.0","26.6","13.9","4.1","1.5","0.6",".",".",".",".",".",".",".",".","."
"Developmnt-Economic Thought","305
001","38","3.094","18.4","13.2","28.9","18.4","2.6","2.6",".",".",".",".",".",".","10.5","5.3",".","."
"The Real Estate Process","306
001","63","2.683","1.6","14.3","44.4","7.9","27.0","4.8",".",".",".",".",".",".",".",".",".","."
"","310
001","149","2.809","15.4","19.5","19.5","18.8","20.8","4.0","2.0",".",".",".",".",".",".",".",".","."
"","310
002","153","2.915","20.9","18.3","19.6","18.3","18.3","2.6","2.0",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","302","2.863","18.2","18.9","19.5","18.5","19.5","3.3","2.0",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","001
311","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","8","3.125","25.0","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","187","2.868","17.6","19.3","16.6","20.9","19.8","4.3","0.5",".","0.5",".",".",".",".",".","0.5","."
"Environmental Economics","343
001","86","2.981","24.4","14.0","29.1","15.1","12.8","1.2","3.5",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","104","3.087","26.0","26.9","23.1","9.6","5.8","5.8","2.9",".",".",".",".",".",".",".",".","."
"","420
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
002","9","3.111",".","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","12","3.250","8.3","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421
001","7","2.333",".","28.6","14.3",".","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3"
"The Financial System","435
001","39","3.333","43.6","12.8","28.2","7.7","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","94","2.955","19.1","26.6","20.2","12.8","14.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"Human Resources-Econ Growth","448
001","36","3.319","33.3","13.9","36.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","92","3.031","14.1","23.9","28.3","20.7","9.8","1.1",".","1.1",".",".",".",".",".",".",".","1.1"
"Indust Struct&Comptitv Stratgy","458
001","41","3.780","70.7","14.6","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","64","3.174","26.6","18.8","29.7","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467
001","68","3.013","25.0","13.2","35.3","11.8","10.3",".","4.4",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 209 of 423",""
