"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","509","2.965","25.5","14.5","27.5","9.0","16.1","6.1","1.2",".",".",".",".",".",".",".",".","."
"610
Cellular&Molecular Neurosci","001","","6","3.125",".","33.3","16.7","16.7",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"629
Molec & Cellular Mech-Memory","002","","8","3.313","25.0","62.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"675","001","","19","3.342","10.5","47.4","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","19","3.342","15.8","36.8","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","19","3.158","15.8","42.1","15.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"675","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","63","3.317","22.2","38.1","31.7","3.2","4.8",".",".",".",".",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".",".","94.9",".",".",".","2.6",".",".","2.6","."
