"BUS","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"","300
001","44","3.920","88.6","6.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","35","3.886","88.6","2.9","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","79","3.905","88.6","5.1","5.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","40","3.775","80.0","7.5","2.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","002
301","23","3.826","82.6","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","63","3.794","81.0","6.3","4.8","6.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","40","3.138","20.0","27.5","32.5","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","002
303","23","3.261","34.8","17.4","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","63","3.183","25.4","23.8","31.7","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","29","3.069","34.5","20.7","17.2","6.9","10.3","6.9","3.4",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","651
001","21","3.000","23.8","14.3","42.9","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","652
001","46","3.141","17.4","21.7","50.0","2.2","6.5",".","2.2",".",".",".",".",".",".",".",".","."
"","002
652","59","3.288","15.3","39.0","39.0","1.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"","003
652","35","3.200","17.1","25.7","48.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","140","3.218","16.4","30.0","45.0","2.1","5.0","0.7","0.7",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","12","3.292","41.7","16.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","34","3.103","23.5","11.8","41.2","20.6",".",".","2.9",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","444","3.266","43.0","18.0","27.0","5.6","3.8","1.6","0.9",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","89","3.418","66.3","9.0","13.5","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Junior","","142","3.390","51.4","19.7","22.5","2.8","2.1","1.4",".",".",".",".",".",".",".",".",".","."
"Senior","","179","3.184","27.4","20.7","37.4","6.1","5.0","1.7","1.7",".",".",".",".",".",".",".",".","."
"Undergraduates","","411","3.285","44.3","17.8","27.0","5.1","3.4","1.7","0.7",".",".",".",".",".",".",".",".","."
"Special","","25","3.151","28.0","20.0","28.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","8","2.773","25.0","25.0","25.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","Dept. Total","444","3.266","43.0","18.0","27.0","5.6","3.8","1.6","0.9",".",".",".",".",".",".",".",".","."
