"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
002","16","3.250","31.3","12.5","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
344","18","3.278","44.4",".","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
344","15","3.033","20.0","20.0","40.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","344
005","18","3.250","33.3","11.1","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","13","3.154","30.8",".","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","007
344","18","3.250","22.2","38.9","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","008
344","18","3.194","27.8","16.7","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","009
344","15","3.133","26.7","13.3","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","010
344","15","3.067","6.7","26.7","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","011
344","15","3.233","33.3","6.7","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
012","14","3.143","21.4","14.3","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","013
344","15","3.167","20.0","26.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
014","17","3.176","35.3","5.9","23.5","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","015
344","18","3.139","22.2","16.7","44.4",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","344
016","17","3.147","23.5","5.9","52.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","017
344","14","3.143","21.4","21.4","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","018
344","16","3.125","25.0","12.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
019","18","3.167","27.8","5.6","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","020
344","14","3.250","35.7","7.1","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
021","16","3.156","31.3",".","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","022
344","14","3.071","21.4","14.3","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","344
023","17","3.176","23.5","11.8","52.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","2.971","23.5","5.9","47.1","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","344
025","14","3.143","21.4","7.1","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
026","16","3.219","37.5",".","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","027
344","17","3.118","29.4","5.9","41.2","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","429","3.161","27.0","11.7","37.3","16.8","6.5","0.2","0.5",".",".",".",".",".",".",".",".","."
"","345
001","223","2.809","20.6","9.9","30.0","6.7","26.0","3.6","2.7",".",".",".",".",".","0.4",".",".","."
"","002
345","226","2.949","20.4","29.6","12.4","15.0","13.3","8.4","0.9",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","449","2.879","20.5","19.8","21.2","10.9","19.6","6.0","1.8",".",".",".",".",".","0.2",".",".","."
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","33","3.591","54.5","24.2","15.2","3.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","34","3.597","55.9","23.5","14.7","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Chemistry Demonstrations","350
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Topics in Chemistry","375
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","42","3.262","33.3","21.4","21.4","11.9","11.9",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","42","2.988","28.6","11.9","26.2","9.5","16.7","7.1",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","82","2.988","28.0","14.6","23.2","12.2","13.4","4.9","2.4",".",".",".",".",".","1.2",".",".","."
"","563
001","14","3.107","28.6","28.6","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","003
563","12","3.208","25.0","25.0","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","004
563","15","3.200","26.7","20.0","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","006
563","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","47","3.181","27.7","21.3","29.8","10.6","6.4","4.3",".",".",".",".",".",".",".",".",".","."
"","564
001","10","2.800","10.0","20.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","003
564","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 184 of 423",""
