"L&S","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","66","2.917","22.7","4.5","42.4","9.1","16.7","1.5","3.0",".",".",".",".",".",".",".",".","."
"","224
002","74","3.000","20.3","14.9","36.5","9.5","14.9","4.1",".",".",".",".",".",".",".",".",".","."
"","003
224","84","2.839","13.1","17.9","27.4","23.8","9.5","8.3",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","224","2.915","18.3","12.9","34.8","14.7","13.4","4.9","0.9",".",".",".",".",".",".",".",".","."
"","301
001","138","3.322","38.4","21.0","19.6","14.5","3.6","2.9",".",".",".",".",".",".",".",".",".","."
"","301
002","143","3.490","51.0","21.0","13.3","8.4","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","003
301","136","3.285","20.6","39.0","25.7","7.4","5.1","1.5",".","0.7",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","417","3.368","36.9","26.9","19.4","10.1","4.3","2.2",".","0.2",".",".",".",".",".",".",".","."
"","302
001","44","3.159","29.5","20.5","29.5","11.4","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","302
002","47","3.191","23.4","23.4","31.9","14.9","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"Acc Intro to Stat Meth","Course Total","91","3.176","26.4","22.0","30.8","13.2","4.4","1.1","2.2",".",".",".",".",".",".",".",".","."
"","001
309","41","2.900","26.8","19.5","12.2","9.8","17.1","12.2",".",".",".",".",".",".",".",".","2.4","."
"","309
002","35","3.400","40.0","17.1","28.6","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","76","3.133","32.9","18.4","19.7","10.5","10.5","6.6",".",".",".",".",".",".",".",".","1.3","."
"Intro to Prob & Math Stat II","310
001","36","3.028","33.3","13.9","22.2","8.3","13.9","5.6","2.8",".",".",".",".",".",".",".",".","."
"","311
001","85","3.018","27.1","16.5","21.2","17.6","11.8","4.7","1.2",".",".",".",".",".",".",".",".","."
"","002
311","83","2.819","18.1","12.0","26.5","16.9","20.5","4.8","1.2",".",".",".",".",".",".",".",".","."
"","003
311","59","3.483","44.1","22.0","18.6","11.9","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","227","3.064","28.2","16.3","22.5","15.9","12.3","3.5","0.9",".",".",".",".",".","0.4",".",".","."
"","312
001","57","3.553","59.6","5.3","28.1","3.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","002
312","60","3.508","55.0","18.3","15.0",".","10.0","1.7",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","117","3.530","57.3","12.0","21.4","1.7","6.0","1.7",".",".",".",".",".",".",".",".",".","."
"","324
001","62","3.024","27.4","16.1","27.4","11.3","9.7","6.5","1.6",".",".",".",".",".",".",".",".","."
"","002
324","55","3.036","32.7","5.5","34.5","9.1","10.9","5.5","1.8",".",".",".",".",".",".",".",".","."
"","003
324","54","3.074","27.8","22.2","22.2","7.4","14.8","3.7","1.9",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","171","3.044","29.2","14.6","28.1","9.4","11.7","5.3","1.8",".",".",".",".",".",".",".",".","."
"","327
001","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
002","47","3.968","97.9",".",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
327","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
004","36","3.500","44.4","22.2","25.0","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","327
005","27","3.519","48.1","22.2","14.8","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
327","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","327
007","36","3.486","52.8","22.2","8.3","8.3","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","327
008","33","3.641","63.6","18.2","6.1","3.0","3.0","3.0",".","3.0",".",".",".",".",".",".",".","."
"","327
009","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
327","35","3.386","40.0","28.6","8.6","14.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","325","3.728","72.3","12.6","6.8","5.2","2.2","0.6",".","0.3",".",".",".",".",".",".",".","."
"Applied Regression Analysis","001
333","44","2.976","18.2","29.5","22.7","6.8","11.4",".","6.8","2.3",".",".",".",".","2.3",".",".","."
"","371
001","138","2.757","20.3","11.6","23.9","6.5","31.9","2.2","3.6",".",".",".",".",".",".",".",".","."
"","002
371","132","2.898","19.7","18.9","30.3","7.6","13.6","7.6","2.3",".",".",".",".",".",".",".",".","."
"","003
371","139","3.108","23.7","16.5","31.7","15.1","12.2","0.7",".",".",".",".",".",".",".",".",".","."
"","004
371","139","3.090","32.4","10.1","26.6","12.2","15.8","2.2","0.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","548","2.964","24.1","14.2","28.1","10.4","18.4","3.1","1.6",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","38","3.419","47.4","15.8","10.5","18.4","5.3",".",".","2.6",".",".",".",".",".",".",".","."
