"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"100
Prin & Prac-Crop Production","001","","61","3.136","19.7","23.0","27.9","16.4","9.8",".",".",".",".",".",".",".",".","3.3",".","."
"203
Introduction to Global Health","001","","35","3.771","65.7","22.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"302
Forage Mgmt & Utilization","001","","24","3.587","62.5","16.7","4.2","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"371
Managed Grazing Field Study","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","20","3.579","40.0","30.0","25.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"375","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.694","63.2","15.8","15.8","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"532
Environmental Biophysics","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Practicum-Agronomy Teaching","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","44.8",".",".",".","55.2",".",".",".","."
