"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","53","4.000","69.8",".",".",".",".",".","",".","30.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","23","4.000","87.0",".",".",".",".",".","",".","8.7","",".",".","",".","",".","4.3",".",".","."
"Prof Yr 3","317","3.246","14.8","12.0","24.0","1.6","5.4","0.3","",".","42.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","282","4.000","34.0",".",".",".",".",".","",".","64.2","",".",".","",".","",".","0.4",".","1.4","."
"Professionals","675","3.395","29.6","5.6","11.3","0.7","2.5","0.1","",".","49.2","",".",".","",".","",".","0.3",".","0.6","."
