"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Meth&Matl-Early Childhd Ed","550
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Crit Perspect on Digital Media","606
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","630
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Prof Dev School & Community","Course Total","","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Tchg: Ratios & Proportions","637
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673
001","","11","3.733","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673
001","","28","4.000","3.6",".",".",".",".",".",".",".",".",".",".",".","96.4",".",".","."
"","Section Total","","39","3.745","17.9","5.1","7.7",".",".",".",".",".",".",".",".",".","69.2",".",".","."
"","673
002","","24","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Learning 2nd Lang & Literacies","Course Total","","63","3.745","11.1","3.2","4.8",".",".",".",".",".",".",".",".",".","42.9",".","38.1","."
"","675
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
003","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bilingualism&Biliteracy-Schls","676
001","","9","3.840","55.6","22.2",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","690
031","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
053","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
068","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
095","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","58","3.991","94.8","1.7",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","57.1",".",".",".",".",".",".","14.3",".",".",".",".","28.6",".",".","."
"Sociocultural Theory","702
001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
