"Cardiac Surg Clerkship-CSC","963
041","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","964
003","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","964
008","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Thoracic Surgery Clerk-CSC","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","194","3.508","62.4","7.2","28.9","",".","",".","",".","0.5","0.5","",".",".","",".","",".","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","13","4.000","92.3",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","7.7","."
"Senior","","35","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","55","4.000","98.2",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","1.8","."
"Graduate","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","97","3.352","33.0","12.4","53.6","",".","",".","",".","1.0",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","40","3.837","85.0","5.0","7.5","",".","",".","",".",".","2.5","",".",".","",".","",".","",".",".",".","."
"Professionals","","138","3.435","47.8","10.1","40.6","",".","",".","",".","0.7","0.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","194","3.508","62.4","7.2","28.9","",".","",".","",".","0.5","0.5","",".",".","",".","",".","",".",".","0.5","."
