"ALS","","","","","","","","","","","","","","","","","","",""
"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","367","3.160","32.2","15.3","28.6","8.4","11.4","3.3","0.5",".",".",".",".",".","0.3",".",".","."
"","102
001","39","3.487","41.0","23.1","30.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.461","42.1","15.8","36.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","003
102","39","3.487","41.0","23.1","28.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","36","3.343","33.3","8.3","50.0","2.8","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"General Microbiology Lab","Course Total","152","3.447","39.5","17.8","36.2","3.9","2.0",".",".",".",".",".",".",".","0.7",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","16","3.971","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","244","3.084","23.8","17.2","36.5","7.0","11.1","4.1","0.4",".",".",".",".",".",".",".",".","."
"","304
001","39","3.231","25.6","15.4","43.6","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"","002
304","39","3.282","33.3","15.4","41.0",".","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","304
003","37","3.392","32.4","18.9","43.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","39","3.436","38.5","15.4","43.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","154","3.334","32.5","16.2","42.9","3.9","3.9","0.6",".",".",".",".",".",".",".",".",".","."
"","305
001","17","3.824","88.2",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","305
002","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","004
305","16","3.781","87.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","65","3.838","86.2","7.7","1.5",".","3.1","1.5",".",".",".",".",".",".",".",".",".","."
"","324
003","7","2.643",".","14.3","71.4",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","004
324","13","2.731",".","38.5","23.1","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","20","2.700",".","30.0","40.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","62","3.040","21.0","14.5","41.9","3.2","17.7",".","1.6",".",".",".",".",".",".",".",".","."
"","375
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","28","3.685","57.1","17.9","21.4",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Special Topics","Course Total","47","3.767","74.5","10.6","12.8",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","47","3.287","38.3","19.1","31.9",".","6.4",".","4.3",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","51","2.961","29.4","25.5","15.7","5.9","11.8","3.9","7.8",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","70","3.514","57.1","12.9","17.1","7.1","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","95","3.774","74.7","11.6","10.5","2.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Immunology","528
001","43","2.561","11.6","2.3","39.5","7.0","18.6","16.3",".",".",".",".",".",".","4.7",".",".","."
"Prokaryotic Molecular Biol","612
001","19","3.237","21.1","15.8","57.9",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","21","3.286","33.3","19.0","19.0","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Biol & Genetics-Filament Fungi","655
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
