"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","",""
"103
Elementary Biblical Hebrew, I","001","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"323
Intermediate Biblical Hebrew I","001","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"703
Ugaritic Texts","001","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"751
The Book of Isaiah","001","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"799","021","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"799","062","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"990","012","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","018","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","021","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"HEBR-BIB
441","Dept. Total","22","3.590","45.5","9.1","13.6",".","4.5","",".","",".","27.3","",".",".",".",".",".",".",".","."
