"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","","",""
"","100
001","50","3.980","96.0","4.0",".",".",".",".",".","",".",".","",".",".","",".","","",".",".",".","."
"","100
003","25","3.660","60.0","28.0","4.0",".","8.0",".",".","",".",".","",".",".","",".","","",".",".",".","."
"Intro-Amer Indian Studies","Course Total","75","3.873","84.0","12.0","1.3",".","2.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"First Semester Ojibwe","301
001","39","3.192","28.2","38.5","17.9",".","7.7","2.6","5.1",".","",".","",".",".","",".","","",".",".",".","."
"Indians of North America","314
001","67","2.851","22.4","11.9","10.4","32.8","19.4","1.5","1.5","",".",".","",".",".","",".","","",".",".",".","."
"Survey-N Amer Indian Languages","371
001","33","3.636","51.5","30.3","12.1","6.1",".",".",".","",".",".","",".",".","",".","","",".",".",".","."
"Ethnobotany","474
001","12","3.583","41.7","50.0",".",".","8.3",".",".","",".",".","",".",".","",".","","",".",".",".","."
"Poverty and Place","578
001","2","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Study","699
014","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"AMER IND
140","Dept. Total","229","3.410","49.8","21.0","8.3","10.5","8.3","0.9","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","3.717","71.7","15.1","3.8","3.8","5.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","69","3.283","46.4","15.9","7.2","17.4","10.1","1.4","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","46","3.250","39.1","26.1","8.7","10.9","10.9","2.2","2.2","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","54","3.343","37.0","29.6","14.8","9.3","7.4",".","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","222","3.394","48.6","21.2","8.6","10.8","8.6","0.9","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","229","3.410","49.8","21.0","8.3","10.5","8.3","0.9","1.3","",".","",".",".","",".","",".","",".",".",".","."
