"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Internship","Course Total","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.981","73.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","13.3","."
"802
Mass Communication and Society","001","","9","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"812
Qualitative Comm Res Methods","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"829
Political Communication","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Topics in Mass Communication","031","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"901
Colloquium:Mass Communicatn","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","36","",".",".",".",".",".",".",".","72.2",".",".",".","27.8",".",".",".","."
