"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Introduction to Computation","202
001","77","3.331","49.4","26.0","6.5","3.9","5.2","5.2","3.9",".",".",".",".",".",".",".",".","."
"","240
001","125","3.104","28.0","8.8","37.6","15.2","7.2","2.4","0.8",".",".",".",".",".",".",".",".","."
"","002
240","149","3.117","34.2","6.7","34.9","12.8","6.0","2.7","2.7",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","274","3.111","31.4","7.7","36.1","13.9","6.6","2.6","1.8",".",".",".",".",".",".",".",".","."
"","252
001","7","2.500","14.3","14.3",".","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"","002
252","139","3.183","37.4","15.8","16.5","13.7","14.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"","005
252","107","3.079","32.7","17.8","15.0","16.8","13.1","1.9","2.8",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","253","3.121","34.8","16.6","15.4","15.4","14.2","1.6","2.0",".",".",".",".",".",".",".",".","."
"Directed Study in Comp Sci","298
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","139","3.291","36.0","20.1","23.7","10.8","7.9","0.7","0.7",".",".",".",".",".",".",".",".","."
"","002
301","141","3.302","33.3","22.0","28.4","7.8","5.0","0.7","1.4","1.4",".",".",".",".",".",".",".","."
"Intro Data Programming","Course Total","280","3.297","34.6","21.1","26.1","9.3","6.4","0.7","1.1","0.7",".",".",".",".",".",".",".","."
"","302
001","191","3.120","26.2","19.4","30.9","11.5","5.2","2.6","2.6","1.0","0.5",".",".",".",".",".",".","."
"","002
302","208","3.020","26.9","12.5","35.1","9.6","6.7","3.4","4.3","1.4",".",".",".",".",".",".",".","."
"","302
003","213","3.110","21.6","23.9","36.6","7.5","5.2","1.9","3.3",".",".",".",".",".",".",".",".","."
"","004
302","211","3.050","19.9","16.6","39.3","14.2","4.7","2.8","1.9","0.5",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","823","3.074","23.6","18.1","35.6","10.7","5.5","2.7","3.0","0.7","0.1",".",".",".",".",".",".","."
"","304
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
352","37","3.027","18.9","21.6","29.7","10.8","16.2","2.7",".",".",".",".",".",".",".",".",".","."
"","002
352","12","2.833","8.3","33.3","25.0",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","49","2.980","16.3","24.5","28.6","8.2","18.4","4.1",".",".",".",".",".",".",".",".",".","."
"","354
001","135","2.914","25.9","13.3","23.7","12.6","16.3","3.7","3.7",".",".",".",".",".",".",".",".","0.7"
"","354
002","131","3.042","30.5","16.8","19.1","13.0","14.5","4.6","1.5",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","266","2.977","28.2","15.0","21.4","12.8","15.4","4.1","2.6",".",".",".",".",".",".",".",".","0.4"
"","367
001","174","2.909","15.5","18.4","28.7","16.7","14.9","1.7","2.3","0.6","0.6",".",".",".",".",".","0.6","."
"","002
367","165","2.866","17.0","14.5","26.7","20.6","15.8","3.0","1.8","0.6",".",".",".",".",".",".",".","."
"","367
003","67","2.538","13.4","13.4","25.4","9.0","25.4",".","11.9","1.5",".",".",".",".",".",".",".","."
"","367
004","120","3.554","48.3","29.2","12.5","8.3","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","526","2.997","23.2","19.0","24.0","15.0","13.3","1.5","3.0","0.6","0.2",".",".",".",".",".","0.2","."
"Learn a Programming Language","368
001","102","",".",".",".",".",".",".",".",".",".","84.3","15.7",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","61","2.932","26.2","26.2","13.1","6.6","9.8","11.5","3.3",".",".",".",".",".","1.6","1.6",".","."
"Intro-Combinatrl Optimizatn","425
001","12","3.083","25.0","41.7",".","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","106","3.052","26.4","14.2","32.1","5.7","17.0","2.8","0.9",".",".",".",".",".","0.9",".",".","."
"Intro-Combinatorics","475
001","16","3.000","18.8","6.3","50.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506
001","76","3.664","47.4","39.5","11.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
