"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","222
003","278","2.879","23.7","9.4","30.9","14.0","11.9","6.5","2.9",".",".",".",".",".","0.7",".",".","."
"","222
004","259","2.824","23.6","8.1","28.2","13.1","19.3","3.9","3.9",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry 2","Course Total","1048","2.816","21.6","11.1","28.7","12.7","16.3","5.5","3.9",".",".",".",".",".","0.2",".",".","."
"","228
014","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
015","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
053","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","054
228","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES Calculus Supplement","Course Total","66","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","234
001","187","3.131","36.9","10.2","26.7","6.4","16.0","1.6","2.1",".",".",".",".",".",".",".",".","."
"","002
234","241","3.000","24.1","14.1","28.2","12.4","18.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"","234
003","274","3.013","27.0","13.1","26.3","9.1","20.4","3.6",".",".",".",".",".",".","0.4",".",".","."
"","004
234","187","2.832","20.3","12.8","21.9","15.5","23.0","6.4",".",".",".",".",".",".",".",".",".","."
"","005
234","251","2.944","24.7","15.5","22.3","13.9","16.3","4.4","2.0","0.4",".",".",".",".","0.4",".",".","."
"Calc--Functns of Variables","Course Total","1140","2.985","26.4","13.3","25.2","11.5","18.9","3.4","1.1","0.1",".",".",".",".","0.2",".",".","."
"","240
001","73","3.116","16.4","13.7","54.8","9.6","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"","002
240","41","2.939","24.4","7.3","41.5","14.6","4.9",".","7.3",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","114","3.053","19.3","11.4","50.0","11.4","4.4","0.9","2.6",".",".",".",".",".",".",".",".","."
"","298
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
164","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Math","Course Total","2","***","","","","","","","","","","","","","","","",""
"","303
001","9","2.278","11.1","22.2",".","33.3",".","22.2","11.1",".",".",".",".",".",".",".",".","."
"","303
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","11","2.545","18.2","27.3",".","27.3",".","18.2","9.1",".",".",".",".",".",".",".",".","."
"","309
001","19","2.763","26.3","15.8","5.3","21.1","15.8","15.8",".",".",".",".",".",".",".",".",".","."
"","309
002","24","3.208","29.2","25.0","12.5","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","43","3.012","27.9","20.9","9.3","23.3","11.6","7.0",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","15","2.233","13.3",".","33.3","20.0","6.7","6.7","20.0",".",".",".",".",".",".",".",".","."
"","319
001","87","2.779","16.1","27.6","18.4","9.2","13.8","8.0","5.7",".","1.1",".",".",".",".",".",".","."
"","002
319","90","3.222","34.4","21.1","20.0","12.2","8.9","2.2","1.1",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","177","3.006","25.4","24.3","19.2","10.7","11.3","5.1","3.4",".","0.6",".",".",".",".",".",".","."
"","320
001","99","2.770","23.2","16.2","21.2","5.1","21.2","6.1","6.1",".",".",".",".",".",".","1.0",".","."
"","002
320","147","3.003","26.5","21.1","18.4","17.7","8.2","4.8","3.4",".",".",".",".",".",".",".",".","."
"","003
320","47","2.447","17.0","10.6","19.1","10.6","19.1","17.0","6.4",".",".",".",".",".",".",".",".","."
"","004
320","147","2.963","20.4","19.7","24.5","17.7","11.6","4.8","1.4",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","440","2.878","22.7","18.4","21.1","14.1","13.4","6.4","3.6",".",".",".",".",".",".","0.2",".","."
"Appl Mathematical Analysis","321
001","62","2.516","8.1","16.1","12.9","16.1","37.1","9.7",".",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","35","3.132","28.6","14.3","34.3","5.7","8.6","5.7",".",".",".",".",".",".",".","2.9",".","."
"","340
001","122","2.922","32.8","12.3","18.9","9.8","13.1","10.7","2.5",".",".",".",".",".",".",".",".","."
"","002
340","157","2.834","24.8","11.5","26.1","8.9","16.6","10.2","1.9",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","279","2.873","28.3","11.8","22.9","9.3","15.1","10.4","2.2",".",".",".",".",".",".",".",".","."
"","001
341","31","2.710","22.6","9.7","19.4","9.7","29.0","6.5","3.2",".",".",".",".",".",".",".",".","."
"","341
002","31","3.065","29.0","12.9","16.1","25.8","16.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","62","2.887","25.8","11.3","17.7","17.7","22.6","3.2","1.6",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375
001","47","3.402","40.4","21.3","19.1","10.6","6.4",".",".","2.1",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 271 of 423",""
