"VET","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","89","3.326","42.7","15.7","20.2","9.0","11.2","1.1",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","89","3.264","30.3","28.1","21.3","9.0","9.0","2.2",".",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","89","3.635","62.9","12.4","14.6","9.0","1.1",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","91","3.099","17.6","26.4","34.1","6.6","13.2","2.2",".",".",".",".",".",".",".",".",".","."
"675","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.981","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".","7.1","."
"775","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","25","",".",".",".",".",".",".",".","96.0",".",".",".",".",".",".","4.0","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
