"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","20","3.611","35.0","40.0","15.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro-Internatl Relations","103","001","235","3.034","13.6","31.9","24.3","13.2","13.2","2.6","0.4",".",".",".",".",".","0.4",".","0.4","."
"Intro-Amer Politcs&Governmt","104","001","231","2.956","15.2","17.3","28.6","17.7","11.3","3.9",".","5.6",".",".",".",".","0.4",".",".","."
"Politics Around the World","106","001","151","3.010","19.9","27.8","21.2","12.6","13.2","2.6","2.6",".",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","19","3.472","31.6","26.3","36.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Politics Around World-Honors","186","001","22","3.409","22.7","45.5","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","200","001","94","3.245","27.7","31.9","17.0","12.8","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","164","3.259","20.1","41.5","18.9","14.6","1.2","0.6","1.8",".",".",".",".",".","0.6","0.6",".","."
"Law, Politics and Society","217","001","33","3.297","12.1","45.5","27.3","12.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Understndng Politcl Numbers","218","001","45","3.267","31.1","37.8","11.1","11.1","4.4",".","4.4",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","40","3.526","42.5","27.5","20.0","5.0","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","20","3.421","25.0","30.0","40.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","42","3.128","14.3","26.2","38.1","7.1","4.8",".","2.4","7.1",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","43","2.872","23.3","16.3","27.9","14.0","7.0","4.7","7.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","31","3.645","45.2","41.9","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Terrorism","319","001","52","2.959","7.7","26.9","40.4","7.7","3.8","5.8","1.9","5.8",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","51","3.031","9.8","23.5","39.2","13.7","7.8","2.0",".",".",".",".",".",".","2.0",".","2.0","."
"China in World Politics","346","001","62","3.574","61.3","11.3","17.7","1.6","4.8",".","1.6","1.6",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","40","2.975","25.0","17.5","17.5","22.5","12.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","49","2.969","28.6","12.2","26.5","10.2","16.3","2.0","4.1",".",".",".",".",".",".",".",".","."
"Conflict Resolution","378","001","50","2.980","24.0","26.0","20.0","10.0","6.0","8.0","4.0",".",".",".",".",".","2.0",".",".","."
"","400","002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","17","3.441","52.9","17.6","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","400","005","21","3.429","61.9","19.0","4.8",".","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","400","006","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","90","3.620","78.9","10.0","6.7",".","1.1","1.1","2.2",".",".",".",".",".",".",".",".","."
"","401","002","13","3.038","23.1","30.8","23.1","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","401","003","26","3.477","42.3","15.4","19.2","3.8",".","3.8",".","11.5",".",".",".",".","3.8",".",".","."
"Selected Topics-Poli Sci","","Course Total","39","3.343","35.9","20.5","20.5","5.1","2.6","2.6","2.6","7.7",".",".",".",".","2.6",".",".","."
"The American Constitution II","412","001","98","3.495","39.8","32.7","18.4","1.0","2.0",".","2.0","4.1",".",".",".",".",".",".",".","."
"Supreme Ct as Pol Instit","414","001","67","3.261","31.3","25.4","17.9","14.9","10.4",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","41","3.354","29.3","34.1","19.5","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","464","001","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","98","3.284","29.6","18.4","41.8","2.0","2.0","1.0","2.0","1.0",".",".",".",".","1.0","1.0",".","."
"Elections & Voting Behavior","467","001","52","3.370","17.3","51.9","15.4","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","002","48","3.466","43.8","29.2","20.8","2.1",".","2.1","2.1",".",".",".",".",".",".",".",".","."
"Literature and Politics","570","001","26","3.479","26.9","38.5","23.1","3.8",".",".",".",".",".",".",".",".","3.8","3.8",".","."
