"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","5297","3.210","34.3","16.9","21.3","9.4","7.4","2.1","1.7","4.5","0.1","1.6","0.3","0.0","0.2","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","328","3.110","32.3","17.7","27.7","11.3","5.5","2.1","3.0","0.3",".",".",".",".",".",".",".","."
"Sophomore","","773","3.052","27.9","15.5","27.7","11.6","10.3","1.9","2.6",".",".","2.1","0.3",".",".",".",".","."
"Junior","","1113","3.039","26.0","15.7","28.0","12.0","8.6","3.1","2.7",".","0.2","2.6","0.9",".","0.1",".",".","."
"Senior","","1579","3.079","27.8","17.9","22.4","12.4","11.5","3.2","1.1","0.5",".","2.3","0.2",".","0.3","0.1","0.1","0.1"
"Undergraduates","","3793","3.065","27.7","16.8","25.6","12.0","9.9","2.8","2.1","0.2","0.1","2.1","0.4",".","0.2","0.1","0.0","0.0"
"Special","","338","3.468","53.6","17.5","12.4","8.3","2.7","0.6","3.0","0.6",".","0.9",".",".",".",".","0.3","0.3"
"Graduate","","1167","3.704","50.2","17.1","10.0","1.2","0.5","0.1","0.2","19.7","0.1","0.3","0.1","0.2","0.2",".","0.2","."
"","Dept. Total","5298","3.210","34.3","16.9","21.3","9.4","7.4","2.1","1.7","4.5","0.1","1.6","0.3","0.0","0.2","0.0","0.1","0.0"
