"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Chinese Economic History","336","001","25","3.625","56.0","20.0","12.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","34","3.620","35.3","20.6","17.6",".",".",".",".","20.6",".",".",".",".","5.9",".",".","."
"Women & Gender in US to 1870","353","002","10","3.150","20.0","30.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","11","3.600","54.5","9.1","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"The Second World War","357","001","73","3.357","38.4","27.4","17.8","2.7","5.5","1.4","2.7","4.1",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","44","3.043","6.8","22.7","36.4","6.8","4.5",".","2.3","20.5",".",".",".",".",".",".",".","."
"Soc-Shakespeares England","367","001","29","3.227","6.9","27.6","34.5","6.9",".",".",".","24.1",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","20","3.375","25.0","40.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410","001","25","3.400","28.0","36.0",".","12.0",".","4.0",".","20.0",".",".",".",".",".",".",".","."
"History-American Education","412","001","24","3.667","50.0","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","45","3.344","15.6","22.2","28.9","4.4",".",".",".","28.9",".",".",".",".",".",".",".","."
"US Military History to 1902","427","002","64","3.031","14.1","26.6","10.9","12.5","4.7","4.7","1.6","25.0",".",".",".",".",".",".",".","."
"Samurai: History and Image","454","001","24","3.522","62.5","16.7",".",".","12.5","4.2",".",".",".",".",".",".",".","4.2",".","."
"The American West to1850","461","001","75","3.444","30.7","25.3","21.3","2.7","1.3",".","1.3","17.3",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making the American Landscape","469","001","129","3.510","15.5","14.7","7.8","1.6",".","0.8",".","59.7",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","505","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History at Work","","Course Total","8","3.955","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anti-Semitism-European Culture","518","001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","007","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","600","012","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","013","16","3.688","56.3","37.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600","014","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","015","12","3.682","58.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"","600","016","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","107","3.719","61.7","26.2","7.5","0.9","0.9",".","0.9","0.9",".",".",".",".",".","0.9",".","."
"Hist-Civ Rghts Movmnt in US","628","001","15","3.409","20.0","26.7","20.0","6.7",".",".",".","26.7",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
