"","990
073","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
078","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
081","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","30","",".",".",".",".",".",".",".","83.3","",".",".","",".","16.7","",".",".",".","."
"PATH-BIO
703","Dept. Total","1023","3.578","35.4","15.6","12.4","1.9","0.7","0.2","0.1","32.9","",".",".","",".","0.5","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","15","3.318","66.7","6.7","13.3",".","6.7","6.7",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","31","3.536","58.1","9.7","25.8","3.2","3.2",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","30","3.625","73.3","6.7","13.3",".","3.3","3.3",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","87","3.560","70.1","6.9","16.1","1.1","3.4","2.3",".",".","",".",".","",".",".","",".",".",".","."
"Special","","24","0.000",".",".",".",".",".",".","4.2","95.8","",".",".","",".",".","",".",".",".","."
"Graduate","","54","3.516","13.0","9.3","9.3",".",".",".",".","59.3","",".",".","",".","9.3","",".",".",".","."
"Prof Yr 2","","678","3.579","39.1","22.0","15.9","2.7","0.6",".",".","19.8","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","91","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","89","4.000","32.6",".",".",".",".",".",".","64.0","",".",".","",".",".","",".",".","3.4","."
"Professionals","","858","3.590","34.3","17.4","12.6","2.1","0.5",".",".","32.9","",".",".","",".",".","",".",".","0.3","."
"","Dept. Total","1023","3.578","35.4","15.6","12.4","1.9","0.7","0.2","0.1","32.9","",".",".","",".","0.5","",".",".","0.3","."
