"L&S","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Cognitive Development","502
001","86","3.471","52.3","12.8","24.4","4.7","3.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"","509
001","291","3.276","22.3","43.3","16.8","8.2","6.2","2.1","0.7",".",".",".",".",".",".",".",".","0.3"
"","509
002","18","3.722","55.6","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","309","3.302","24.3","43.0","15.9","8.1","5.8","1.9","0.6",".",".",".",".",".",".",".",".","0.3"
"Intro to Clinical Psych","517
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"How We Read:Science&Educ Impl","520
001","25","3.229","44.0","8.0","8.0","20.0","16.0",".",".",".",".",".",".",".","4.0",".",".","."
"Psychology of Women","522
001","30","3.143","20.0","23.3","30.0","10.0","6.7","3.3",".","6.7",".",".",".",".",".",".",".","."
"Neurobiology","523
001","24","3.250","45.8","16.7","16.7",".","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","92","3.594","58.7","23.9","6.5","3.3","2.2","1.1","2.2","2.2",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530
001","87","3.366","32.2","35.6","13.8","11.5","3.4","2.3",".",".",".",".",".",".",".",".","1.1","."
"Child Psychology","001
560","198","3.121","20.7","28.8","23.2","15.7","8.6","2.5","0.5",".",".",".",".",".",".",".",".","."
"Honors Depth Topic","581
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Cognitive Development","582
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","586
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Smr-Abnormal Psych","587
001","19","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","610
001","25","3.720","68.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
005","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
621","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
016","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
017","38","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","621
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
023","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
037","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
038","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
039","11","3.925","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","040
621","31","3.830","87.1","3.2","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"","621
044","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
049","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
053","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
055","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
058","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
065","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","621
075","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","283","3.971","95.8","1.1","1.4","0.4",".","0.4",".",".",".",".",".",".","0.4",".","0.7","."
"Organization and Job Design","653
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 301 of 423",""
