"L&S","","","","","","","","","","","","","","","","","","","",""
"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","132","2.962","9.8","20.5","38.6","18.9","8.3","3.0",".",".",".",".",".",".","0.8",".",".","."
"Law, Politics and Society","217","001","36","3.357","25.0","36.1","19.4","16.7",".",".",".",".",".",".",".",".",".","2.8",".","."
"American Legal History to 1860","261","001","43","3.000","4.7","20.9","39.5","30.2",".",".",".","4.7",".",".",".",".",".",".",".","."
"","400","020","28","3.543","35.7","25.0","17.9",".","3.6",".",".",".",".",".",".",".","10.7","7.1",".","."
"","400","022","93","3.511","41.9","29.0","16.1","8.6","2.2",".",".",".",".",".",".",".",".","2.2",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","121","3.518","40.5","28.1","16.5","6.6","2.5",".",".",".",".",".",".",".","2.5","3.3",".","."
"Human Rights in Law & Society","409","001","28","3.089","25.0","25.0","28.6","7.1","7.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"Surv, Privacy, Police Powers","460","001","67","3.470","28.4","47.8","19.4",".","1.5",".","1.5",".",".",".",".",".","1.5",".",".","."
"Senior Honors Thesis","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
