"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","8","3.947","87.5","12.5",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","9","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","21","3.981","95.2","4.8",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","39","3.000",".",".","5.1",".",".",".","",".","94.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","356","3.289","38.5","20.8","22.2","8.4","8.7","1.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","25","",".",".",".",".",".",".","",".","96.0","",".",".","",".","",".","",".",".","4.0","."
"Professionals","381","3.289","36.0","19.4","20.7","7.9","8.1","1.3","",".","6.3","",".",".","",".","",".","",".",".","0.3","."
