"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","139","3.122","15.8","32.4","29.5","12.2","7.9","0.7","1.4",".",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","124","3.548","46.0","33.1","15.3","2.4","0.8","1.6","0.8",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","35","3.397","22.9","34.3","14.3","8.6","2.9",".",".",".",".",".",".",".",".",".","17.1","."
"The Ancient Mediterranean","110","001","96","3.527","31.3","44.8","15.6","5.2",".",".",".","3.1",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","70","3.530","38.6","32.9","17.1","5.7","1.4",".",".","4.3",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","90","3.384","45.6","21.1","13.3","5.6","3.3","6.7",".","4.4",".",".",".",".",".",".",".","."
"English History to 1688","123","001","71","3.284","14.1","33.8","18.3","1.4",".","2.8","1.4","28.2",".",".",".",".",".",".",".","."
"Intro to World History","130","001","83","3.862","73.5","2.4","2.4","3.6","1.2",".",".","16.9",".",".",".",".",".",".",".","."
"Middle East-20th Century","139","002","48","3.598","37.5","35.4","8.3",".","4.2",".",".","10.4",".",".",".",".",".",".",".","4.2"
"Asian Am Hist:Movmnt&Dislocatn","160","001","81","3.719","71.6","18.5","2.5","2.5","1.2",".","2.5","1.2",".",".",".",".",".",".",".","."
"","200","002","12","3.125","25.0","25.0","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","200","003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","005","17","3.469","29.4","41.2","17.6",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","200","006","7","2.714",".","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"","200","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","","Course Total","47","3.344","34.0","25.5","23.4","6.4","4.3",".","2.1","2.1",".",".",".",".","2.1",".",".","."
"","201","001","45","2.943","6.7","24.4","35.6","26.7",".","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"","201","002","28","3.500","28.6","46.4","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","38","3.632","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201","005","15","3.233","20.0","20.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201","006","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","007","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","155","3.379","32.3","31.6","22.6","11.6",".","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","28","3.727","42.9","28.6","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"West Intel&Rel Hist since 1500","209","001","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Intro to Modern Jewish Hist","220","002","13","3.889","53.8","15.4",".",".",".",".",".","23.1",".",".",".",".",".","7.7",".","."
"Explorations in Amer Hist (H)","221","003","37","3.338","16.2","51.4","16.2","5.4",".",".","2.7","5.4",".",".",".",".",".",".","2.7","."
"Exploration-3rd World Hist (H)","225","001","16","3.714","37.5","50.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"History of Race and Ethnicity","227","001","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","26","3.278","30.8","15.4","7.7","7.7","3.8",".","3.8","30.8",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","11","3.400","27.3","27.3","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"American Legal History to 1860","261","001","29","3.096","3.4","27.6","48.3","3.4","6.9",".",".","10.3",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","3.571","23.5","50.0","5.9","2.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279","001","46","3.359","28.3","39.1","26.1","2.2",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","70","3.409","34.3","32.9","17.1","4.3","2.9","1.4","1.4","4.3",".",".",".",".",".",".","1.4","."
"Crusades: Christianity & Islam","309","001","49","3.655","57.1","14.3","8.2","4.1",".",".","2.0",".",".",".",".",".",".",".","14.3","."
"The Vietnam Wars","319","001","73","3.516","42.5","24.7","8.2","6.8","2.7",".","1.4","12.3",".",".",".",".","1.4",".",".","."
"Afro-Amer History to 1900","322","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","11","3.167","9.1","27.3","27.3","18.2",".",".",".","18.2",".",".",".",".",".",".",".","."
"","335","001","18","3.882","72.2","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","335","002","14","3.214","50.0","14.3","14.3",".","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Korean Histry, 1945 to present","","Course Total","32","3.581","62.5","18.8","6.3",".","6.3",".","3.1",".",".",".",".",".","3.1",".",".","."
