"","601
001","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","601
003","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","601
005","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"7th Semester Asian Language","Course Total","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","186","3.851","79.6","9.7","8.6","0.5","",".","",".","",".","1.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.882","80.8","15.4","3.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","30","3.866","83.3","6.7","10.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","40","3.825","80.0","7.5","10.0","2.5","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","51","3.823","76.5","9.8","11.8",".","",".","",".","",".","2.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","147","3.843","79.6","9.5","9.5","0.7","",".","",".","",".","0.7","",".",".","",".","",".","",".",".",".","."
"Special","","11","3.951","90.9","9.1",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","24","3.839","75.0","12.5","8.3",".","",".","",".","",".","4.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","186","3.851","79.6","9.7","8.6","0.5","",".","",".","",".","1.6","",".",".","",".","",".","",".",".",".","."
