"BUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","","34","4.000","100.0",".","",".",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Computer-Based Data Mgt","422
002","","17","3.647","41.2","52.9","",".","5.9","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","765
001","","7","4.000","100.0",".","",".",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"INFO SYS
234","Dept. Total","","58","3.897","82.8","15.5","",".","1.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","7","3.714","42.9","57.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","43","3.907","86.0","11.6","",".","2.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","51","3.882","80.4","17.6","",".","2.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","7","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","58","3.897","82.8","15.5","",".","1.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
