"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 2","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","60","3.798","70.0","15.0","11.7","1.7",".",".",".",".",".","1.7",".",".",".",".",".","."
"Professionals","","92","3.791","45.7","10.9","7.6","1.1",".",".",".","33.7",".","1.1",".",".",".",".",".","."
