"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","46","3.478","39.1","28.3","23.9","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","340
003","47","3.404","25.5","36.2","31.9","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","47","3.468","40.4","29.8","21.3","4.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","186","3.382","30.1","30.1","28.5","9.7","1.1","0.5",".",".",".",".",".",".",".",".",".","."
"","406
001","28","3.321","35.7","7.1","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
406","7","3.429","42.9","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","35","3.343","37.1","11.4","34.3","17.1",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","40","3.750","57.5","35.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","40","3.713","50.0","42.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
603","39","3.705","48.7","43.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","119","3.723","52.1","40.3","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
620","35","3.229","25.7","17.1","37.1","17.1","2.9",".",".",".",".",".",".",".",".",".",".","."
"","620
002","33","3.288","27.3","27.3","36.4",".","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","68","3.257","26.5","22.1","36.8","8.8","4.4","1.5",".",".",".",".",".",".",".",".",".","."
"","621
001","29","3.448","31.0","37.9","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","24","3.250","29.2","20.8","25.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","53","3.358","30.2","30.2","22.6","15.1","1.9",".",".",".",".",".",".",".",".",".",".","."
"","630
001","44","3.307","34.1","9.1","43.2","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
630","42","3.298","35.7","9.5","38.1","11.9","4.8",".",".",".",".",".",".",".",".",".",".","."
"","003
630","43","3.384","30.2","25.6","34.9","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","129","3.329","33.3","14.7","38.8","10.9","2.3",".",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","48","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","54","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","192","3.839","71.9","24.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","701
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","21","3.214","14.3","28.6","47.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
706","31","3.532","38.7","32.3","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","52","3.404","28.8","30.8","34.6","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","710
001","34","3.576","47.1","20.6","26.5","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","710
002","28","3.625","46.4","32.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","62","3.598","46.8","25.8","24.2","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","24","3.292","29.2","12.5","45.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","26","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","770
001","33","3.485","30.3","36.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
770","26","3.423","34.6","26.9","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","59","3.458","32.2","32.2","30.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 54 of 423"
