"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","","5","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","","","7","3.667","42.9","42.9","14.3","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","17","3.683","52.9","29.4","17.6","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","","20","3.786","40.0","30.0",".","",".","",".","",".","",".","20.0","",".",".","",".","10.0","",".",".",".","."
"","Dept. Total","","39","3.697","43.6","28.2","10.3","",".","",".","",".","",".","12.8","",".",".","",".","5.1","",".",".",".","."
