"EDU","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","100
003","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","21","3.262","42.9","14.3","14.3","9.5","19.0",".",".",".",".",".",".",".",".",".",".","."
"","100
005","22","3.773","77.3","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","21","3.571","66.7","9.5","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","100
007","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
100","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","225","3.811","80.9","10.2","2.2","3.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"","102
001","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","39","3.833","74.4","20.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","7","3.000","14.3","57.1","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","104
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
104","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","45","3.667","53.3","40.0","4.4",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","107
001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
002","21","3.800","76.2","4.8","9.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","107
003","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","107
004","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
107","19","3.711","73.7","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","007
107","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","008
107","21","3.833","85.7","4.8",".","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","143","3.859","85.3","7.0","2.8","2.8","0.7","0.7",".","0.7",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","151","3.831","81.5","11.3","4.0","1.3","0.7","1.3",".",".",".",".",".",".",".",".",".","."
"","112
001","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","112
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
112","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","20","3.525","55.0","25.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","006
112","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","20","3.875","90.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","117","3.821","80.3","12.8","3.4","0.9","1.7",".","0.9",".",".",".",".",".",".",".",".","."
"","176
001","16","3.656","56.3","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","176
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","28","3.804","75.0","17.9","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","212
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","20","3.800","75.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","212
004","18","3.722","72.2",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","14","3.643","71.4",".","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","83","3.831","83.1","4.8","9.6",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","214
001","7","3.583","57.1","14.3",".",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 73 of 423"
