"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","3","***","","","","","","","","","",".",".",".",".",".","33.3","."
"Senior","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Prof Yr 1","","349","",".",".",".",".",".",".",".","99.4","0.3",".",".",".",".",".","0.3","."
"Prof Yr 2","","1086","3.476","40.1","21.4","32.9","3.3","0.9",".","0.1","0.8","0.1",".",".",".",".",".","0.1","0.4"
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1436","3.476","30.3","16.2","24.9","2.5","0.7",".","0.1","24.8","0.1",".",".",".",".",".","0.1","0.3"
