"L&S","","","","","","","","","","","","","","","","","","","","",""
"","FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"","271","013","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","014","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","","Course Total","","55","3.672","65.5","21.8","5.5","1.8","1.8",".","1.8",".",".",".",".",".","1.8",".",".","."
"Practical French Converstn","301","001","","26","3.938","84.6","3.8","3.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","312","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","17","3.441","76.5","5.9","5.9",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","","Course Total","","37","3.635","70.3","18.9","5.4",".",".",".","5.4",".",".",".",".",".",".",".",".","."
"","313","001","","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","002","","29","3.759","58.6","37.9",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","","Course Total","","57","3.807","64.9","33.3",".","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321","001","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","322","001","","26","3.673","57.7","30.8","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","22","3.500","54.5","13.6","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391","001","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"French/Francophone Film","465","001","","15","3.321","33.3","33.3","13.3",".","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"Grammaire avancee","615","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Rspnsbility in Prof French","616","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","640","001","","11","3.667","36.4","36.4","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Senior Honors Thesis","681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","14","3.888","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","","24","3.859","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","26","3.870","76.9","19.2",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"College Teaching of French","820","001","","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Questions-Litterature","947","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Smr: Questions-Litterature","948","001","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","18","",".",".",".",".",".",".",".","72.2",".",".",".","27.8",".",".",".","."
