"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","19","3.132","15.8","47.4","26.3",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","38","3.382","28.9","44.7","21.1",".",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","3","***","","","","","","","","","","","","","","","",""
"","374
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","397
001","18","3.333","22.2","38.9","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","002
397","21","3.333","19.0","47.6","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
003","23","3.391","34.8","30.4","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","397
004","20","3.175","10.0","40.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
005","23","3.152",".","39.1","56.5",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","006
397","22","3.250","18.2","13.6","68.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
397","22","3.477","22.7","50.0","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
397","21","3.524","38.1","28.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","21","3.357","9.5","52.4","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","23","3.239","17.4","26.1","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","20","3.450","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
397","21","3.167","19.0","28.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","014
397","21","3.310","9.5","47.6","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","22","3.500","31.8","36.4","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
397","21","3.381","19.0","47.6","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","319","3.335","18.8","39.5","33.9","5.6","2.2",".",".",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","43","3.964","90.7","7.0",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","601
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intl Engr Strategies&Operatns","613
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Systems and Controls","629
001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Core Comp of Sustainability","Course Total","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 130 of 423",""
