"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","62","3.623","51.6","32.3","9.7",".","3.2","1.6",".","1.6",".","",".",".","",".","","",".",".",".","."
"Intro-Mus Cult of the World","103
001","63","3.238","44.4","17.5","20.6","7.9",".","3.2","6.3",".",".","",".",".","",".","","",".",".",".","."
"The African Storyteller","210
001","25","3.660","68.0","12.0","8.0","8.0","4.0",".",".",".",".","",".",".","",".","","",".",".",".","."
"Global Language Issues","211
001","5","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Myth","359
001","16","3.250","31.3","18.8","31.3","6.3","12.5",".",".",".",".","",".",".","",".","","",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","7","3.800","57.1",".","14.3",".",".",".",".","28.6",".","",".",".","",".","","",".",".",".","."
"The Scottish Tradition","518
001","19","4.000","94.7",".",".",".",".",".",".","5.3",".","",".",".","",".","","",".",".",".","."
"Topics in Folklore","530
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".","",".",".","",".","","",".",".",".","."
"Independ Stdy-Folklore Grad","699
018","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Seminar in Folklore","970
001","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"FOLKLORE
380","Dept. Total","208","3.556","54.3","19.7","13.9","3.8","2.4","1.4","1.9","2.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.446","47.1","5.9","35.3","11.8",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","60","3.569","53.3","30.0","6.7","3.3","3.3","1.7","1.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","64","3.581","60.9","15.6","15.6","1.6","3.1",".","3.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","57","3.490","49.1","21.1","15.8","5.3","1.8","3.5","1.8","1.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","198","3.541","54.0","20.7","14.6","4.0","2.5","1.5","2.0","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","208","3.556","54.3","19.7","13.9","3.8","2.4","1.4","1.9","2.4","",".",".","",".","",".","",".",".",".","."
