"HEC","","","","","","","","","","","","","","","","","","","","","",""
"CIVIL SOC & COMMUNITY STUDI Section","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","","",""
"CSCS
Dept. Total
247","363","3.887","82.6","9.6","3.6","",".","0.3","0.6","",".","1.1","",".",".","",".","1.1","1.1",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","52","3.906","82.7","17.3",".","",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","48","3.807","79.2","12.5","6.3","",".",".","2.1","",".",".","",".",".","",".",".",".",".",".","."
"Junior","93","3.838","81.7","7.5","6.5","",".","1.1","1.1","",".",".","",".",".","",".",".","2.2",".",".","."
"Senior","125","3.953","89.6","9.6",".","",".",".",".","",".",".","",".",".","",".",".","0.8",".",".","."
"Undergraduates","318","3.889","84.6","10.7","2.8","",".","0.3","0.6","",".",".","",".",".","",".",".","0.9",".",".","."
"Special","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","42","3.852","69.0","2.4","9.5","",".",".",".","",".","7.1","",".",".","",".","9.5","2.4",".",".","."
"Dept. Total","363","3.887","82.6","9.6","3.6","",".","0.3","0.6","",".","1.1","",".",".","",".","1.1","1.1",".",".","."
