"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
015","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
017","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
300","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","447","3.819","69.1","28.0","2.0","0.2","0.4",".","0.2",".",".",".",".",".",".",".",".","."
"Business Law","301
001","497","2.991","10.9","21.9","37.6","18.1","9.5","1.2","0.6","0.2",".",".",".",".",".",".",".","."
"","302
001","42","3.571","45.2","23.8","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","42","3.679","52.4","31.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","84","3.625","48.8","27.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","94","3.154","23.4","18.1","31.9","19.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"","002
306","87","3.034","11.5","18.4","42.5","20.7","6.9",".",".",".",".",".",".",".",".",".",".","."
"","003
306","91","3.039","13.2","19.8","39.6","14.3","12.1",".",".",".",".",".",".",".",".",".","1.1","."
"","004
306","58","2.966","10.3","27.6","20.7","27.6","13.8",".",".",".",".",".",".",".",".",".",".","."
"","005
306","86","2.936","12.8","22.1","22.1","25.6","17.4",".",".",".",".",".",".",".",".",".",".","."
"","006
306","60","3.250","30.0","20.0","28.3","13.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","007
306","57","3.061","12.3","26.3","33.3","17.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","008
306","32","2.906","18.8","12.5","15.6","37.5","15.6",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","565","3.051","16.3","20.7","31.0","20.7","11.2",".",".",".",".",".",".",".",".",".","0.2","."
"","307
001","110","3.245","20.0","31.8","29.1","15.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"","307
002","114","3.241","15.8","36.8","31.6","11.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"","003
307","114","3.254","22.8","33.3","23.7","12.3","7.9",".",".",".",".",".",".",".",".",".",".","."
"","004
307","58","3.397","34.5","37.9","15.5","6.9","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","307
005","16","3.375","25.0","43.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","412","3.273","21.8","35.0","26.0","11.9","4.9","0.2","0.2",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","186","3.104","11.8","28.0","38.2","12.9","5.4","1.1","0.5","1.6",".",".",".",".",".",".","0.5","."
"Mgmt & Mrktg Non-Bus Majors","311
001","259","3.243","30.9","23.2","25.1","12.7","4.6","0.8","1.9","0.8",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","19","3.711","78.9","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","365
003","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","080
365","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
081","22","3.705","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","365
082","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
083","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","084
365","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","146","3.818","74.7","19.2","4.8","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","704
001","48","3.563","35.4","41.7","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","50","3.550","36.0","38.0","26.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","98","3.556","35.7","39.8","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","47","3.840","68.1","31.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","50","3.800","62.0","36.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","97","3.820","64.9","34.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 51 of 423"
