"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Child Abuse and Neglect","Course Total","25","3.540","36.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","17","3.559","52.9","35.3",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","54","3.623","48.1","33.3","11.1","3.7","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"","741
001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
010","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
020","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","77","3.929","87.0","11.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","41","3.317","12.2","51.2","26.8","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","004
800","17","3.719","58.8","17.6","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","800
005","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","800
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
800","8","3.939","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
800","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
102","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
800","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","800
104","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","800
201","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
202","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
203","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","181","3.927","84.5","9.4","2.2",".",".",".",".",".",".",".",".",".","3.9",".",".","."
"","821
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","821
010","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","821
020","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and Mental Health","Course Total","27","3.846","66.7","29.6",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Family Law: Parent & Child","823
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
010","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","835
011","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","835
012","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","013
835","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
835","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
021","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","92","3.883","81.5","13.0","2.2",".","1.1",".",".",".",".",".",".",".","1.1",".","1.1","."
"","836
001","41","3.829","78.0","9.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
010","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
