"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","119","3.071","17.6","22.7","31.9","15.1","10.9","1.7",".",".",".",".",".",".",".",".",".","."
"","002
300","135","3.147","20.7","26.7","27.4","9.6","13.3","0.7",".","0.7",".",".",".",".","0.7",".",".","."
"","300
003","125","3.016","13.6","22.4","33.6","16.0","12.0","1.6",".",".",".",".",".",".","0.8",".",".","."
"Operations Management","Course Total","379","3.080","17.4","24.0","30.9","13.5","12.1","1.3",".","0.3",".",".",".",".","0.5",".",".","."
"Principles & Tech-Qual Mgmt","351
001","38","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","370
001","43","3.453","30.2","39.5","20.9","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","16","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
421","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","28","3.625","60.7","17.9","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","422
001","14","3.250","21.4","28.6","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","22","3.364","27.3","31.8","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","20","3.425","30.0","25.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","27","3.413","29.6","29.6","11.1","11.1","3.7",".",".",".",".",".",".",".","14.8",".",".","."
"","002
451","27","3.304","25.9","29.6","11.1","14.8",".","3.7",".",".",".",".",".",".","14.8",".",".","."
"Service Operations Mgmt","Course Total","54","3.359","27.8","29.6","11.1","13.0","1.9","1.9",".",".",".",".",".",".","14.8",".",".","."
"","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","2","***","","","","","","","","","","","","","","","",""
"Logistics Management","722
001","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
031","41","3.524","39.0","31.7","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","29","3.707","51.7","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
010","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","Course Total","40","3.713","52.5","37.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
