"VET","","","","","","","","","","","","","","","","","","","",""
"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","54","3.509","55.6","11.1","24.1","1.9","5.6","1.9",".",".",".",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"510
Veterinary Immunology","001","","85","3.371","23.5","35.3","32.9","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","85","3.518","42.4","24.7","28.2","3.5","1.2",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","85","3.653","48.2","36.5","12.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","85","3.635","51.8","27.1","18.8","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","85","4.000","41.2",".",".",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"528
Immunology","001","","9","2.667","22.2",".","55.6",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","002","","84","3.863","76.2","20.2","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","85","3.400","29.4","31.8","30.6","5.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"675","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","174","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","179","4.000","1.1",".",".",".",".",".",".","98.9",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","4.000","25.7",".",".",".",".",".",".","74.3",".",".",".",".",".",".",".","."
"775","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".","7.1","."
"775","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","48","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"920
Thesis Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Advanced Seminar","012","","17","3.563","11.8","29.4","5.9",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
