"ALS","","","","","","","","","","","","","","","","","","","",""
"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","297","2.883","16.5","18.9","24.2","15.8","19.5","3.0","1.3",".",".",".",".",".",".","0.7",".","."
"132","002","","410","2.880","10.5","22.9","27.1","16.6","20.0","2.4","0.2",".",".",".",".",".","0.2",".",".","."
"132","003","","135","2.914","13.3","26.7","24.4","14.1","12.6","6.7","0.7",".",".",".",".",".","0.7","0.7",".","."
"Nutrition Today","Course Total","","842","2.886","13.1","22.1","25.7","15.9","18.6","3.3","0.7",".",".",".",".",".","0.2","0.4",".","."
"200
Prof-Dietetics & Nutrition","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"203
Introduction to Global Health","001","","368","3.735","65.8","20.1","11.1","1.1","0.5","0.8",".",".",".",".",".",".","0.3",".","0.3","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","59","3.974","93.2","5.1",".",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Independent Study","Course Total","","64","3.978","93.8","4.7",".",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"332
Human Nutritional Needs","001","","81","3.111","22.2","29.6","17.3","14.8","13.6","2.5",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","35","3.800","82.9",".","14.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","37","3.243","27.0","21.6","35.1","5.4","10.8",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","20","3.600","55.0","30.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Adv Nutrition: Minerals","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","50","3.150","20.0","26.0","34.0","8.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"650
Adv Clin Nutr: Crit Care Nutr","001","","19","3.421","21.1","52.6","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"670
Nutr & Dietetics Practicum I","001","","14","3.769","71.4",".","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"681
Senior Honors Thesis","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
