"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"576
Survey: Theories of Drama","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"619","005","","8","3.333","12.5","25.0","37.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"619","007","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","010","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"619","011","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","012","","18","3.926","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","83","3.778","74.7","13.3","6.0",".","1.2","1.2",".",".",".",".",".",".","3.6",".",".","."
"661","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"661","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Production Practicum","Course Total","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.412","37.5","25.0","12.5",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Advanced Theatre Technology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","Course Total","","7","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"920
Smr-Theatre&Performnc Study","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research and Thesis","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
