"","990
123","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
124","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
125","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","51","",".",".",".",".",".",".","",".","78.4",".",".","",".","15.7",".",".","5.9","."
"PATH
704","Dept. Total","198","3.500","24.2","6.1","7.6","1.5","2.5","1.0","",".","20.2",".","29.3","",".","5.1","0.5",".","2.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","7","2.786","14.3","14.3","42.9",".","14.3","14.3","",".",".",".",".","",".",".",".",".",".","."
"Junior","","20","3.415","55.0","15.0","10.0","10.0","5.0","5.0","",".",".",".",".","",".",".",".",".",".","."
"Senior","","29","3.605","55.2","6.9","17.2",".","6.9",".","",".",".",".",".","",".","6.9","3.4",".","3.4","."
"Undergraduates","","57","3.396","49.1","10.5","17.5","3.5","8.8","3.5","",".",".",".",".","",".","3.5","1.8",".","1.8","."
"Special","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","167","3.636","35.3","3.0","2.4","0.6",".",".","",".","23.4","0.6","28.7","",".","4.2",".",".","1.8","."
"Prof Yr 2","","9","",".",".",".",".",".",".","",".",".",".","100.0","",".",".",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","","","25.0","",".","25.0",".",".",".","."
"Prof Yr 4","","9","3.944","77.8","11.1",".",".",".",".","",".","11.1",".",".","",".",".",".",".",".","."
"Professionals","","22","3.950","40.9","4.5",".",".",".",".","",".","4.5",".","45.5","",".","4.5",".",".",".","."
"","Dept. Total","247","3.500","38.9","4.9","6.1","1.2","2.0","0.8","",".","16.2","0.4","23.5","",".","4.0","0.4",".","1.6","."
