"L&S","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","15","3.400","33.3","20.0","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","2.906",".","35.3","23.5","29.4",".","5.9",".",".",".",".",".",".",".",".","5.9","."
"","101
006","11","3.364","36.4","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","008
101","14","3.536","42.9","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
009","16","3.344","37.5","25.0","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
011","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
101","13","3.038","23.1","7.7","38.5","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","101
014","8","2.875","50.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","120","3.303","32.5","25.8","25.0","9.2","4.2","0.8","1.7",".",".",".",".",".",".",".","0.8","."
"","102
003","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","8","2.813","37.5","12.5","12.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"","006
102","15","3.267","40.0","20.0","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","30","3.167","40.0","16.7","23.3","3.3","6.7","6.7","3.3",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
003","15","3.615","53.3","13.3","6.7","13.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","203
002","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","005
203","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","10","3.400","50.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","203
008","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","42","3.536","52.4","23.8","9.5","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
003","12","3.375","25.0","41.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","24","3.750","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","12","3.778","50.0","16.7","8.3",".",".",".",".","16.7",".",".",".",".","8.3",".",".","."
"Italian Film","460
001","17","3.923","64.7","11.8",".",".",".",".",".","17.6",".",".",".",".","5.9",".",".","."
"Lineamenti Di Lett Italiana","731
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","10","3.667","30.0","60.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
