"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"475
Engr Principles-Ag Machinery","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","071","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","34","3.960","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"492","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Facilities Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Thry&Appl of Pattrn Recgntn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Comp-Aided Geometric Design","001","","15","3.643","46.7","26.7","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","22","3.205","22.7","22.7","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","18","2.971","11.1","33.3","22.2","5.6","16.7","5.6",".",".",".",".",".",".","5.6",".",".","."
"569
Applied Combustion","001","","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Computational Fluid Dynamics","001","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","13","3.667","30.8","61.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"601","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","046","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 140 of 423",""
