"ALS","","","","","","","","","","","","","","","","","","","","",""
"","COMMUNITY & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","72","3.521","45.8","38.9","6.9",".","2.8","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","25","3.240","32.0","28.0","20.0","4.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","","16","3.563","43.8","37.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Technology and Society","245","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","22","3.727","90.9",".",".",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","26","3.580","46.2","30.8","11.5","3.8","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"Stats for Sociologists I","360","001","","17","3.588","64.7","11.8","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","","27","3.904","81.5","11.1","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","375","002","","7","3.583","57.1","14.3",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","34","3.844","76.5","11.8","2.9",".","2.9",".",".","2.9",".",".",".",".","2.9",".",".","."
"","399","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","475","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","475","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","13","3.269","38.5","30.8","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Capstone Experience","500","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","13","3.385","46.2","30.8","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","23","3.227","30.4","30.4","17.4","4.3","8.7",".","4.3","4.3",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","10","2.188",".","30.0",".",".","30.0","10.0","10.0",".",".",".",".",".","20.0",".",".","."
"Community Development","617","001","","12","3.091","33.3","16.7","25.0",".","8.3",".","8.3",".",".",".",".",".","8.3",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Special Topics","875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Class Analysis&Hist Change","929","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Environmental Sociol","948","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Rsch: Methodology Trainees","995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
