"L&S","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","158","2.720","16.5","7.6","24.1","12.7","36.7","0.6","1.3",".",".",".",".",".","0.6",".",".","."
"","100","002","162","2.784","19.8","12.3","23.5","8.0","29.6","3.1","2.5",".",".",".",".",".",".",".",".","1.2"
"General Anthropology","","Course Total","320","2.752","18.1","10.0","23.8","10.3","33.1","1.9","1.9",".",".",".",".",".","0.3",".",".","0.6"
"Archaeology & Prehist World","102","001","118","3.057","13.6","16.9","45.8","14.4","5.1","0.8","0.8",".",".",".",".",".",".","1.7",".","0.8"
"","104","001","304","3.602","47.4","37.8","7.6","3.9","2.3",".","0.7",".",".",".",".",".",".",".","0.3","."
"","104","002","399","3.556","50.9","29.1","10.5","5.5","1.8","1.5","0.8",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","703","3.576","49.4","32.9","9.2","4.8","2.0","0.9","0.7",".",".",".",".",".",".",".","0.1","."
"Principles - Biological Anthro","105","001","229","3.491","45.9","25.8","15.7","7.9",".","2.6","0.4",".",".",".",".",".",".","0.9",".","0.9"
"Global Language Issues","211","001","31","3.467","32.3","35.5","22.6","3.2","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"Principles of Archaeology","212","001","71","3.451","38.0","22.5","33.8","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","19","3.684","36.8","63.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","35","3.235","20.0","20.0","45.7","8.6","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Intro Ling-Descript&Theoret","301","001","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","2.909",".",".","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","310","001","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","310","002","36","3.662","47.2","30.6","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","49","3.652","44.9","32.7","16.3",".",".",".",".","4.1",".",".",".",".",".","2.0",".","."
"Indians of North America","314","001","44","3.024","20.5","13.6","22.7","27.3","11.4",".",".",".",".",".",".",".",".",".","4.5","."
"Emergence of Human Culture","321","001","35","2.864","20.0","22.9","14.3","8.6","17.1","11.4",".","5.7",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","003","17","3.519","52.9","11.8","23.5",".",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"Music Race & Culture in Brazil","340","001","11","3.650","63.6","9.1","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Course in Archaeology","370","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","24","3.022","29.2","8.3","33.3","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".","4.2"
"Language and Culture","430","001","17","3.866","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","69","3.081","18.8","26.1","29.0","7.2","14.5","2.9",".","1.4",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","13","3.423","61.5","7.7","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Anthro, Environment&Develop","477","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490","004","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","27","3.593","51.9","18.5","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 169 of 423",""
