"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","96","3.600","40.6","37.5","20.8",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"300
Biomed Engineering Design","001","","98","3.781","62.2","31.6","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","68","3.074","14.7","30.9","29.4","10.3","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","8","2.875","25.0",".","37.5",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"389","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","62","3.982","95.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","1.6","."
"400
Capstone Design Course","001","","81","3.741","54.3","39.5","6.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Biomechanics of Human Movement","001","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","44","3.557","45.5","27.3","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
