"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
006","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
311","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
311","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","17","3.706","58.8","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","163","3.672","55.2","33.1","7.4","1.8","1.8",".","0.6",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","24","3.521","58.3","12.5","16.7",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.432","31.8","40.9","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","004
320","22","2.977","31.8","18.2","9.1","13.6","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","68","3.316","41.2","23.5","14.7","4.4","14.7",".","1.5",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","20","3.350","20.0","50.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","322
001","20","3.425","55.0","15.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","322
002","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","36","3.514","52.8","19.4","19.4",".","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","23","3.522","30.4","43.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
324","21","3.810","85.7",".","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","44","3.659","56.8","22.7","18.2",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","325
001","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","325
002","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
325","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
005","20","3.550","25.0","65.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","90","3.781","64.4","26.7","6.7","1.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"","326
003","21","3.619","57.1","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","004
326","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","45","3.767","71.1","17.8","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","327
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","32","3.875","84.4","6.3","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","21","3.762","90.5",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Spanish Applied Linguistics","331
001","25","3.565","60.0","8.0","8.0","8.0","8.0",".",".",".",".",".",".",".","8.0",".",".","."
"Spanish Civilization","361
001","25","3.875","72.0","24.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
002","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","36","3.694","69.4","11.1","11.1","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","20","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit of 18th & 19th Century","451
001","24","3.792","79.2","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","24","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
468","24","3.458","33.3","37.5","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","48","3.667","56.3","27.1","12.5","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","503
001","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 324 of 423",""
