"","999
073","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
082","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
085","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"A A E
108","Dept. Total","605","3.309","37.9","17.0","18.3","7.3","7.1","2.1","0.5","4.1","",".",".","",".","2.0","2.6","0.5","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.070","15.4","26.9","42.3","7.7",".","3.8","3.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","55","3.219","25.5","21.8","38.2","3.6","5.5","3.6",".",".","",".",".","",".",".",".","1.8",".","."
"Junior","","121","3.226","37.2","20.7","20.7","5.8","10.7","5.0",".",".","",".",".","",".",".",".",".",".","."
"Senior","","236","3.226","38.1","18.2","16.9","11.4","11.0","1.7","0.8","0.8","",".",".","",".",".","0.4","0.4",".","."
"Undergraduates","","438","3.216","34.9","19.9","22.1","8.7","9.6","3.0","0.7","0.5","",".",".","",".",".","0.2","0.5",".","."
"Special","","17","3.571","52.9",".",".","11.8","5.9",".",".","5.9","",".",".","",".",".",".","5.9","17.6","."
"Graduate","","148","3.711","45.3","10.8","9.5","2.0",".",".",".","14.9","",".",".","",".","8.1","9.5",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".","50.0",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".","50.0",".",".","."
"","Dept. Total","605","3.309","37.9","17.0","18.3","7.3","7.1","2.1","0.5","4.1","",".",".","",".","2.0","2.6","0.5","0.5","."
