"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3073","3.261","37.8","19.3","21.3","7.9","8.1","2.2","0.8","1.5","",".","0.2","",".","0.7","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.228","43.8","12.5","25.0","6.3","6.3",".","6.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","423","3.026","21.7","22.0","27.2","10.6","13.7","3.5","0.9",".","",".",".","",".",".","0.2",".",".","."
"Junior","","1007","3.152","32.5","17.3","24.6","11.0","10.6","3.0","0.9",".","",".","0.1","",".",".",".",".",".","."
"Senior","","724","3.173","34.9","17.0","21.8","10.4","10.1","2.9","0.8","0.4","",".","0.7","",".","0.8","0.1",".",".","."
"Undergraduates","","2170","3.134","31.3","18.1","24.2","10.7","11.0","3.0","0.9","0.1","",".","0.3","",".","0.3","0.1",".",".","."
"Special","","312","3.562","64.4","19.9","11.5","1.0","1.6","0.6","1.0",".","",".",".","",".",".",".",".",".","."
"Graduate","","588","3.615","47.4","23.5","16.2","1.4","1.0","0.2","0.2","7.1","",".",".","",".","2.7",".",".","0.3","."
"Prof Yr 4","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3073","3.261","37.8","19.3","21.3","7.9","8.1","2.2","0.8","1.5","",".","0.2","",".","0.7","0.1",".","0.1","."
