"L&S","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Ensemble-Brass","Course Total","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
171","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","10","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","30","3.333","16.7","43.3","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","340
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wind Ensemble","40
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","72","3.931","97.2",".","1.4",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","19","3.417","42.1","15.8","26.3",".","10.5",".",".",".",".",".",".",".","5.3",".",".","."
"Survey Music-20th C","416
001","32","3.278","6.3","50.0","18.8","3.1","6.3",".",".",".",".",".",".",".","15.6",".",".","."
"Varsity Band","42
001","305","4.000","99.7",".",".",".",".",".",".","0.3",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","112","3.973","97.3",".","0.9",".","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"","43
002","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","237","3.987","98.7",".","0.4",".","0.4",".",".","0.4",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diction for Singers","466
001","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Interdis Studies in the Arts","469
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","499
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Choir","50
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figured Bass and Continuo","502
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Chorus","52
001","36","3.958","97.2",".",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","523
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","523
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Orchestration I","Course Total","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Choral Union","53
001","28","3.981","89.3","3.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Seminar in Choral Lit","541
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters' Singers","55
001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 280 of 423",""
