"EDU","","","","","","","","","","","","","","","","","","",""
"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","213","3.596","45.1","39.9","7.0","6.1","1.4","0.5",".",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","12","3.458","25.0","58.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","17","3.412","58.8","17.6","5.9","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","150
003","16","3.250","37.5","31.3","12.5","6.3",".","12.5",".",".",".",".",".",".",".",".",".","."
"","150
004","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
150","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","110","3.673","63.6","23.6","7.3","1.8","0.9","1.8","0.9",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Backstage Laboratory I","Course Total","17","3.938","88.2",".","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","162
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
162","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","12","3.792","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","21","3.810","76.2","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","8","3.357","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"Acting Realism","350
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","28","3.875","89.3",".","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","8","3.289","50.0","12.5",".",".",".",".","12.5",".",".",".",".",".","25.0",".",".","."
"Drafting for the Theatre","370
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Translation:Slavic Drama","423
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Scenic Painting","472
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Diaspora and Theatre","477
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Business of Acting","501
001","18","3.389","50.0","16.7","11.1","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 105 of 423",""
