"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1548","3.325","34.4","21.5","21.4","6.5","6.5","1.4","1.2","3.9","",".",".","",".","1.5","1.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.376","34.9","29.2","19.8","8.5","5.7","0.9","0.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","310","3.314","31.0","26.5","24.5","6.8","8.1","1.6","0.3",".","",".",".","",".",".","1.0","0.3",".","."
"Junior","","352","3.242","28.7","26.7","23.6","8.2","8.8","1.7","1.1","0.6","",".",".","",".",".","0.6",".",".","."
"Senior","","491","3.221","33.0","18.1","26.7","7.7","7.5","2.0","1.8","1.2","",".",".","",".","0.8","0.8","0.2",".","."
"Undergraduates","","1259","3.264","31.5","23.5","24.7","7.7","7.9","1.7","1.2","0.6","",".",".","",".","0.3","0.7","0.2",".","."
"Special","","76","3.303","23.7","15.8","14.5","3.9","2.6",".","2.6","25.0","",".",".","",".",".","3.9",".",".","."
"Graduate","","213","3.809","55.4","11.7","4.7",".",".",".","0.5","16.0","",".",".","",".","8.9","2.3",".","0.5","."
"","Dept. Total","1548","3.325","34.4","21.5","21.4","6.5","6.5","1.4","1.2","3.9","",".",".","",".","1.5","1.1","0.1","0.1","."
