"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Numerical Analysis","514
001","20","2.775","25.0","15.0","20.0","20.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","51","2.882","25.5","7.8","25.5","19.6","13.7","5.9","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","45","2.856","26.7","11.1","28.9","8.9","13.3","4.4","6.7",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","13","2.885","23.1","23.1","15.4","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532
001","57","3.386","33.3","28.1","26.3","7.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"Computational Photography","534
001","80","3.244","37.5","25.0","18.8","1.3","11.3","5.0","1.3",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","88","3.017","13.6","29.5","26.1","14.8","13.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","537
001","190","3.154","36.8","16.8","17.4","13.2","11.6",".","3.2",".",".",".",".",".",".",".","0.5","0.5"
"","540
001","125","3.204","33.6","17.6","27.2","8.8","8.8","3.2","0.8",".",".",".",".",".",".",".",".","."
"","540
002","84","3.159","25.0","25.0","20.2","17.9","7.1","1.2","1.2","1.2",".",".",".",".","1.2",".",".","."
"Intro-Artificl Intelligence","Course Total","209","3.186","30.1","20.6","24.4","12.4","8.1","2.4","1.0","0.5",".",".",".",".","0.5",".",".","."
"Intro-Computer Architecture","552
001","15","3.000","13.3","20.0","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","63","3.156","30.2","20.6","22.2","12.7","4.8","4.8","1.6",".",".",".",".",".","3.2",".",".","."
"","564
001","77","3.195","22.1","32.5","27.3","11.7","3.9",".","2.6",".",".",".",".",".",".",".",".","."
"","002
564","65","3.188","35.4","15.4","27.7","9.2","7.7","4.6",".",".",".",".",".",".",".",".",".","."
"","003
564","75","3.887","90.7","4.0","4.0",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","Course Total","217","3.414","49.8","17.5","19.4","6.9","3.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576
001","47","3.068","29.8","23.4","12.8","6.4","10.6","10.6",".",".",".",".",".",".","2.1",".","4.3","."
"","577
001","100","2.960","19.0","15.0","25.0","27.0","9.0","4.0",".",".",".",".",".",".",".","1.0",".","."
"","002
577","80","3.006","18.8","22.5","27.5","16.3","10.0","3.8","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","180","2.980","18.9","18.3","26.1","22.2","9.4","3.9","0.6",".",".",".",".",".",".","0.6",".","."
"Virtual Reality","579
001","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","638
001","84","3.921","86.9","6.0","4.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","638
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","Course Total","97","3.921","86.6","7.2","4.1",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","75","3.128","30.7","18.7","21.3","14.7","6.7","6.7",".","1.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
101","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
115","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","33","3.984","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction of Compilers","701
001","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Software Artifacts","706
001","12","3.250","41.7","8.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707
001","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 202 of 423",""
