"L&S","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","152","3.497","44.7","28.3","17.1","5.3","3.3","0.7","0.7",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","93","3.347","30.1","25.8","24.7","3.2","5.4","2.2",".","8.6",".",".",".",".",".",".",".","."
"Opera","105
001","74","3.667","63.5","5.4","12.2","2.7","5.4",".",".","10.8",".",".",".",".",".",".",".","."
"","113
001","702","3.971","98.0",".","1.1",".","0.6",".","0.1",".",".",".",".",".",".",".","0.1","."
"","113
003","715","3.980","98.5","0.1","0.8",".","0.3",".","0.1","0.1",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1417","3.976","98.2","0.1","1.0",".","0.4",".","0.1","0.1",".",".",".",".",".",".","0.1","."
"","121
001","27","3.167","18.5","33.3","25.9","14.8","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","002
121","27","3.093","18.5","18.5","48.1","7.4","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","54","3.130","18.5","25.9","37.0","11.1","3.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"","151
001","38","3.724","63.2","23.7","7.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","151
002","47","3.389","48.9","21.3","8.5","6.4","6.4",".","4.3","4.3",".",".",".",".",".",".",".","."
"","151
004","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","95","3.554","54.7","23.2","9.5","5.3","3.2",".","2.1","2.1",".",".",".",".",".",".",".","."
"","171
101","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
171","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","103
171","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","14","3.143","14.3","14.3","64.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","54","3.333","20.4","31.5","44.4","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","263","3.255","27.4","20.5","20.2","11.0","9.5",".",".","11.4",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","39","3.194","25.6","25.6","25.6",".","10.3","5.1",".","7.7",".",".",".",".",".",".",".","."
"Musica Practica 3","221
001","30","3.567","36.7","40.0","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
262","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
096","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
296","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","51","3.971","96.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
020","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
189","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 279 of 423",""
