"HEC","","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","243","3.587","50.2","26.7","15.2","5.3","1.6","0.4",".","0.4",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363
001","","239","3.508","43.1","30.1","15.5","7.9","1.3","1.3",".","0.8",".",".",".",".",".",".",".","."
"","425
001","","29","3.431","24.1","44.8","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
425","","30","3.550","36.7","43.3","16.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","59","3.492","30.5","44.1","20.3","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465
001","","26","3.519","50.0","23.1","15.4","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","","42","3.881","78.6","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","","36","3.847","77.8","13.9","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","","42","3.798","78.6","11.9","2.4","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","474
002","","40","3.800","62.5","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","82","3.799","70.7","23.2","2.4","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
008","","83","3.747","72.3","12.0","10.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516
001","","48","3.729","75.0","10.4","10.4","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"","517
001","","39","3.603","43.6","38.5","12.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","517
002","","38","3.316","28.9","26.3","34.2","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","Course Total","","77","3.461","36.4","32.5","23.4","5.2","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","","40","3.350","30.0","32.5","17.5","17.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","","35","3.829","74.3","20.0","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","32","3.797","81.3","9.4","6.3",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","Course Total","","67","3.813","77.6","14.9","4.5","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","","34","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
766","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 150 of 423",""
