"EGR","","","","","","","","","","","","","","","","","","",""
"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Private Pilot","110
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","128","2.375","6.3","6.3","35.2","9.4","24.2","13.3","5.5",".",".",".",".",".",".",".",".","."
"","002
201","113","2.482","11.5","4.4","33.6","10.6","22.1","15.0","2.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","241","2.425","8.7","5.4","34.4","10.0","23.2","14.1","4.1",".",".",".",".",".",".",".",".","."
"","202
001","69","2.594","4.3","14.5","27.5","31.9","8.7","11.6","1.4",".",".",".",".",".",".",".",".","."
"","002
202","47","2.587","4.3","8.5","31.9","21.3","25.5","6.4",".","2.1",".",".",".",".",".",".",".","."
"Dynamics","Course Total","116","2.591","4.3","12.1","29.3","27.6","15.5","9.5","0.9","0.9",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","116","2.457","6.9","10.3","26.7","20.7","19.0","12.1","4.3",".",".",".",".",".",".",".",".","."
"","307
001","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","9","3.375","33.3","22.2","22.2",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","004
307","7","3.000",".","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.056","11.1","22.2","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","007
307","11","3.136","9.1","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","9","3.222",".","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","7","3.286","14.3","57.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
307","6","2.833",".","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
307","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
307","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","97","3.182","12.4","34.0","34.0","14.4","4.1",".",".",".",".",".",".",".","1.0",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","34","2.779","26.5",".","26.5","8.8","32.4","5.9",".",".",".",".",".",".",".",".",".","."
"","469
001","35","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","469
002","19","2.895","26.3",".","36.8",".","36.8",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","Course Total","54","3.102","27.8","18.5","22.2","9.3","22.2",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","64","2.594","10.9","12.5","37.5","12.5","7.8","12.5","6.3",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","55","2.482","3.6","12.7","23.6","21.8","27.3","9.1","1.8",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","22","3.386","27.3","45.5","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous&Multiphase Mtrls","541
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
002","53","2.613","18.9","15.1","26.4","9.4","7.5","15.1","7.5",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","16","2.844","6.3","25.0","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","599
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro to Finite Elements","605
001","29","3.121","34.5","10.3","27.6","6.9","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"","690
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
035","3","***","","","","","","","","","",".",".",".",".",".",".","."
