"ALS","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"Intro Land Arc Studio","201
001","23","3.609","39.1","43.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","18","3.500","61.1","5.6","16.7",".","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"","250
002","20","3.250","35.0","25.0","25.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","250
003","18","3.056","33.3","22.2","27.8",".",".","11.1","5.6",".",".",".",".",".",".",".",".","."
"","004
250","14","3.214","42.9","7.1","35.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","005
250","16","3.433","43.8","37.5",".","6.3",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","250
006","10","2.722",".","40.0","10.0","10.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"","250
007","14","2.769","28.6","14.3","28.6",".",".","7.1","14.3",".",".",".",".",".","7.1",".",".","."
"","008
250","23","3.523","56.5","21.7","8.7",".","4.3",".","4.3",".",".",".",".",".",".",".","4.3","."
"","250
009","20","3.175","40.0","20.0","20.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","250
010","17","3.382","58.8","5.9","17.6","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","170","3.242","42.4","19.4","18.8","4.1","3.5","3.5","5.3","1.2",".",".",".",".","1.2",".","0.6","."
"Prin Land Arc Dsgn&Graphics","261
002","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","263
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
"Landscape Arch Tech II","354
001","14","2.893",".","50.0","14.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","15","3.233","26.7","33.3","33.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","375
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Design","462
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","16","3.483","43.8","25.0","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","2","***","","","","","","","","","","","","","","","",""
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","5","***","","","","","","","","","","","","","","","",""
