"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
001","139","3.750","69.1","21.6","2.2","5.0","0.7",".","0.7",".",".",".",".",".",".",".","0.7","."
"Intro to Mass Communication","201
001","337","3.426","29.7","36.8","28.2","3.0","0.6","0.9","0.6",".",".",".",".",".","0.3",".",".","."
"Mass Communication Practices","202
001","105","3.452","26.7","39.0","33.3",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335
001","20","3.550","15.0","80.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","20","3.600","35.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","40","3.575","25.0","67.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","36","3.514","25.0","50.0","22.2",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","002
345","36","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
345","39","3.744","74.4","20.5",".",".",".","5.1",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","111","3.564","39.6","39.6","18.0",".",".","1.8",".",".",".",".",".",".","0.9",".",".","."
"Creative Nonfiction","001
405","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Magazines&Magazine Editing","417
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447
001","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
012","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","024
475","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","475
028","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","43","3.767","67.4","23.3","4.7","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
002","91","3.363","26.4","39.6","22.0","4.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","58","3.405","31.0","34.5","20.7","12.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"Career Colloquium","601
001","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Media and Youth","616
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","35","3.691","37.1","60.0",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"International Communication","620
001","28","3.768","71.4","14.3","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","100","3.520","40.0","32.0","23.0","2.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","24","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
038","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","055
676","19","3.342","36.8","15.8","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","676
056","25","3.480","28.0","44.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","65","3.479","36.9","33.8","21.5","6.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","697
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 254 of 423",""
