"HEC","","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"","111","001","37","3.932","89.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111","002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111","003","35","3.943","91.4","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111","004","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","","Course Total","118","3.936","89.8","7.6","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173","001","28","3.786","78.6","10.7","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","201","001","41","3.537","41.5","39.0","9.8","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250","001","120","3.904","88.3","6.7","3.3","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251","001","97","3.789","81.4","7.2","3.1","6.2","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257","001","131","3.695","65.6","22.9","6.1","1.5","2.3",".","1.5",".",".",".",".",".",".",".",".","."
"","275","001","75","3.107","17.3","32.0","24.0","16.0","8.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"","275","002","116","3.243","20.7","37.1","23.3","12.9","2.6","1.7","0.9","0.9",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","191","3.189","19.4","35.1","23.6","14.1","4.7","1.6","1.0","0.5",".",".",".",".",".",".",".","."
"Independent Study","299","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Analytics","301","001","38","3.421","34.2","34.2","15.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"","321","001","48","3.813","81.3","12.5",".","4.2",".","2.1",".",".",".",".",".",".",".",".",".","."
"","321","002","42","3.821","73.8","19.0","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","41","3.732","70.7","17.1","2.4","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","321","004","44","3.670","81.8","2.3","9.1",".","2.3",".","4.5",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","","Course Total","175","3.760","77.1","12.6","4.0","3.4","1.1","0.6","1.1",".",".",".",".",".",".",".",".","."
"Financial Coaching","355","001","19","3.553","47.4","31.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360","001","45","3.122","28.9","22.2","28.9","6.7","4.4","6.7","2.2",".",".",".",".",".",".",".",".","."
"Families & Poverty","465","001","10","3.000","10.0","40.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsr Spend&Saving/Lifecycle","527","001","35","3.400","28.6","40.0","17.1","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555","001","76","3.368","17.1","46.1","31.6","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562","001","60","3.858","75.0","23.3",".","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564","001","57","3.105","29.8","14.0","24.6","17.5","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579","001","67","3.299","28.4","38.8","13.4","11.9","4.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","64","3.063","23.4","26.6","14.1","23.4","7.8","3.1","1.6",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635","001","27","2.889","18.5","18.5","29.6","18.5","3.7","7.4","3.7",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","75","3.373","29.3","33.3","22.7","12.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"","699","074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Consumer Behavior","888","001","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
